,female[0-5],male[0-5],female[6-11],male[6-11],female[12-17],male[12-17],female[18-23],male[18-23],female[24-29],male[24-29],female[30-35],male[30-35],female[36-41],male[36-41],female[42-47],male[42-47],female[48-53],male[48-53],female[54-59],male[54-59],female[60-65],male[60-65],female[66-102],male[66-102]
10026,1242,1141,1124,1201,1194,1171,1514,1425,2134,1773,1907,1665,1835,1619,1676,1609,1528,1432,1201,1071,911,699,1860,1071
10027,1904,1828,1707,1739,1896,1929,5573,4126,4402,3858,3036,2730,2408,2187,2388,2263,2184,1971,1939,1661,1476,1243,3329,1930
10030,1033,1058,951,982,1150,1165,1412,1258,1626,1334,1415,1157,1218,1094,1352,1136,1243,1078,924,833,703,527,1412,938
10037,548,504,471,529,590,610,741,664,969,741,902,633,801,549,867,647,829,603,782,468,693,449,1916,910
10039,968,1035,1006,1030,1086,1074,1195,1151,1283,1071,1329,1005,1133,979,1154,977,1079,838,838,578,737,415,1727,839
10001,324,385,261,289,300,297,2254,847,1813,1549,1100,1355,782,1119,633,1061,692,925,657,785,640,596,1462,976
10011,1003,1056,631,648,556,548,2210,1352,4191,3036,3582,3738,2474,3298,1858,3167,1816,2731,1742,2082,1702,1730,3221,2612
10018,74,67,68,42,47,58,338,247,630,611,341,432,225,403,176,311,140,197,141,162,104,103,150,162
10019,846,835,435,459,413,442,1565,1142,4186,3619,3077,3592,2014,2524,1578,2005,1417,1670,1434,1482,1359,1281,3167,2328
10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,340,396,233,242,240,251,1008,859,2369,2480,1570,2139,964,1570,729,1489,828,1331,818,1055,661,826,1165,1148
10029,2570,2767,2690,2829,3096,3208,4112,3943,4378,4314,3574,3364,3253,2732,3254,2631,3167,2488,2766,1870,2442,1565,5893,3097
10035,1196,1257,1135,1246,1344,1397,1610,1822,1734,1840,1592,1623,1403,1518,1432,1528,1436,1477,1044,1122,860,744,2169,1440
10010,588,603,366,356,293,300,2817,1735,3586,2700,2123,2099,1285,1389,907,1179,879,1064,919,960,1057,894,2259,1476
10016,958,1014,536,485,396,385,3707,1808,7711,6042,3764,3805,2284,2538,1712,1862,1516,1643,1723,1503,1758,1288,3304,2441
10017,271,294,148,130,118,113,545,394,1824,1458,1251,1172,778,759,674,588,676,578,742,511,733,547,1330,941
10022,709,702,441,373,287,291,993,544,2401,1727,1867,1671,1386,1370,1157,1045,1191,1157,1455,1221,1685,1280,3865,3106
10012,461,477,307,317,255,288,1394,775,2774,2370,1508,1845,1025,1289,782,913,730,788,817,810,779,726,1418,1242
10013,899,926,624,644,511,507,1318,1176,1728,1650,1474,1646,1348,1576,1075,1375,967,1129,1089,1043,956,878,1760,1401
10014,591,633,440,384,300,307,1127,651,3340,2442,2630,2505,1598,1859,1164,1617,1070,1334,1137,1227,1059,1009,1872,1663
10004,99,126,51,51,41,26,105,113,355,334,287,306,191,214,126,150,69,104,71,74,48,60,36,52
10005,144,123,44,50,25,25,626,330,1404,1177,712,810,311,403,184,244,84,131,86,85,48,41,24,24
10006,45,45,20,15,17,20,256,189,542,468,292,346,156,195,62,105,46,47,28,49,21,26,7,14
10007,373,362,148,168,78,66,190,191,405,500,639,795,467,745,275,464,157,271,141,185,97,110,60,101
10038,409,465,316,352,346,347,1884,1299,1983,1808,1072,1171,758,798,596,686,555,533,640,472,609,455,1722,1024
10280,341,334,180,165,158,136,154,112,552,450,674,637,500,567,396,385,382,320,253,250,226,200,251,230
10002,2061,2311,2178,2175,2203,2350,3415,3205,4598,4352,3830,3887,3376,3421,3406,3182,3269,3116,3464,3000,3143,2339,7897,5232
10003,820,792,486,503,503,439,7049,4844,5306,4488,3528,3721,2136,2620,1545,2090,1584,1794,1716,1734,1654,1485,2947,2240
10009,1212,1265,1138,1186,1314,1325,3712,2845,5943,5055,3300,3368,2441,2451,2339,2411,2469,2232,2437,2075,2062,1514,4547,2706
10021,1243,1440,829,875,629,611,979,582,3550,2321,3116,2476,2115,1757,1742,1463,1728,1327,1728,1267,2105,1402,4973,3373
10028,1264,1288,1106,1045,875,933,1285,760,3864,2608,2887,2357,2226,1880,1912,1659,1810,1610,1879,1407,2133,1433,3939,2981
10044,343,362,272,226,305,319,403,347,679,586,669,655,511,507,457,494,527,486,451,566,427,442,907,720
10065,998,1038,510,589,433,392,813,521,2704,1712,2224,1955,1590,1370,1230,1161,1189,1073,1283,1007,1526,1025,3410,2517
10075,755,762,577,649,468,430,687,402,2216,1230,1703,1330,1305,1056,1086,976,1037,828,1097,833,1260,859,2725,1850
10128,1745,1869,1390,1401,1321,1212,2009,1408,5590,3785,4122,3407,2922,2592,2547,2330,2397,2055,2471,1885,2440,1752,4623,3180
10023,1850,1964,1043,1135,962,954,2114,1409,4043,2709,4116,3431,3341,2901,2570,2446,2434,2287,2506,2116,2584,2076,5857,4150
10024,1992,2085,1389,1459,1215,1264,1323,957,3650,2485,3431,2927,3049,2698,2710,2606,2544,2373,2584,2414,2721,2184,5239,3984
10025,2598,2648,2116,2119,2158,2182,5105,3889,6265,4971,4585,4191,4058,3873,3857,3695,3953,3727,4053,3658,3976,2915,8585,5423
10031,1755,1865,1696,1772,1967,2153,2971,3132,3582,3767,2653,2914,2304,2500,2334,2290,2303,2031,2065,1713,1727,1293,3590,2061
10032,1683,1850,1668,1706,1948,2072,3043,3027,3584,3812,2582,2765,2235,2281,2186,2282,2374,2084,2250,1859,1876,1420,4243,2501
10033,1723,1778,1512,1588,1782,1932,2575,3538,2996,3137,2470,2563,2179,2233,2193,2211,2232,2009,2202,1776,1837,1445,3764,2251
10034,1309,1435,1256,1242,1379,1430,1741,1649,2141,1997,1987,1869,1829,1744,1782,1653,1757,1477,1735,1374,1296,1001,2436,1389
10040,1453,1474,1318,1196,1529,1509,1906,1914,2344,2106,2005,1897,1838,1776,1772,1651,1809,1535,1767,1401,1424,1044,3414,1823
11691,3139,3278,2754,2820,2791,2910,2683,2710,2748,2456,2617,2126,2397,1877,2466,1942,2302,1980,2154,1813,1709,1411,4115,2837
11692,850,922,846,914,863,910,928,863,840,666,896,633,917,617,913,707,795,637,633,503,547,409,1047,684
11693,411,440,466,467,506,514,462,444,489,418,529,446,523,445,627,509,602,520,542,486,448,345,770,507
11694,650,626,661,667,687,806,577,683,648,643,659,597,803,738,946,865,1023,1007,967,1083,863,777,1962,1470
11697,125,114,129,126,137,168,104,94,99,95,93,96,128,108,178,167,228,166,205,191,225,189,542,372
11204,3660,3846,3343,3534,3217,3633,3242,3585,3464,3531,3116,3229,2868,2884,2907,2729,3048,2889,2828,2665,2330,2120,5597,3869
11218,3521,3736,3203,3374,2919,3295,2863,3257,3900,3867,3774,3657,3335,3395,2699,2903,2843,2906,2520,2502,2108,1874,4065,2704
11219,6507,7001,5001,5240,4190,4506,4207,4619,4390,4428,3703,3848,2911,3037,2479,2596,2681,2674,2689,2576,2132,2129,5239,3438
11230,4051,4307,3533,3557,3650,3763,3904,3902,4012,4036,3316,3337,3024,2880,2836,2882,3172,3053,3289,2962,2915,2608,6769,4650
11201,1694,1870,960,980,943,860,2265,1932,3476,3118,4058,3774,3026,3034,2121,2204,1749,1624,1660,1493,1586,1281,3106,2314
11205,2208,2297,1613,1712,1363,1409,2911,2261,2876,2454,2638,2399,1824,1749,1338,1227,1112,961,1024,730,956,641,1674,989
11215,2491,2561,1678,1704,1426,1381,1535,1436,5182,3978,5227,4746,3885,3830,2622,2679,2367,2193,2230,1986,1773,1440,2989,2149
