,female[0-9],male[0-9],female[10-19],male[10-19],female[20-29],male[20-29],female[30-39],male[30-39],female[40-49],male[40-49],female[50-59],male[50-59],female[60-102],male[60-102]
10026,2013,1937,1987,2016,3208,2758,3129,2683,2832,2693,2186,2020,2771,1770
10027,3043,2986,4609,4014,7830,6480,4626,4123,3987,3678,3342,3011,4805,3173
10030,1647,1687,1909,1930,2616,2180,2201,1823,2212,1915,1739,1560,2115,1465
10037,856,858,979,1004,1484,1186,1419,983,1428,1049,1334,868,2609,1359
10039,1623,1729,1808,1789,2107,1843,2049,1623,1940,1621,1544,1133,2464,1254
10001,506,576,1257,607,3189,2184,1646,2085,1097,1768,1121,1392,2102,1572
10011,1464,1513,1544,1216,5583,3911,5219,5893,3326,5297,2927,3826,4923,4342
10018,123,96,102,118,932,811,496,706,299,511,228,288,254,265
10019,1144,1151,783,765,5518,4581,4507,5302,2639,3418,2374,2553,4526,3609
10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,508,571,466,435,3216,3222,2203,3220,1351,2417,1355,1947,1826,1974
10029,4371,4631,5318,5404,7157,7026,5659,5198,5419,4389,4936,3498,8335,4662
10035,1944,2055,2240,2448,2835,3059,2534,2599,2380,2601,1993,2068,3029,2184
10010,848,838,1149,926,5653,3930,3010,3035,1603,1976,1500,1680,3316,2370
10016,1343,1343,920,679,11045,7712,5389,5582,2865,3187,2745,2582,5062,3729
10017,364,391,206,164,2336,1834,1795,1700,1117,1012,1209,896,2063,1488
10022,1025,967,784,557,3022,2113,2810,2563,1989,1934,2257,1967,5550,4386
10012,671,685,507,516,4013,3026,2225,2721,1306,1620,1331,1304,2197,1968
10013,1347,1388,909,906,2824,2609,2374,2683,1845,2271,1734,1815,2716,2279
10014,919,904,569,522,4310,2991,3712,3755,2050,2701,1837,2086,2931,2672
10004,135,168,66,47,450,435,416,460,207,243,121,145,84,112
10005,177,158,76,53,1990,1494,944,1109,298,402,135,162,72,65
10006,57,53,31,38,792,646,409,499,110,162,65,81,28,40
10007,489,485,138,135,567,667,981,1311,457,795,241,354,157,211
10038,622,700,1133,849,3183,2722,1583,1738,1019,1082,1019,840,2331,1479
10280,472,462,236,195,677,540,1008,1014,693,676,504,469,477,430
10002,3554,3729,3741,4017,7160,6647,6059,6150,5511,5339,5775,5117,11040,7571
10003,1150,1157,3978,2741,9036,7168,5063,5497,2640,3556,2806,2906,4601,3725
10009,1964,2036,2250,2294,9105,7346,4940,4963,3973,4006,4073,3568,6609,4220
10021,1829,2038,1025,997,4376,2794,4582,3650,2945,2454,2902,2186,7078,4775
10028,2000,2010,1463,1410,4931,3214,4377,3569,3241,2876,3096,2468,6072,4414
10044,534,507,493,496,975,837,1010,970,788,865,817,873,1334,1162
10065,1364,1458,679,672,3415,2122,3312,2872,2094,2005,2110,1689,4936,3542
10075,1135,1201,758,713,2810,1559,2580,2017,1863,1647,1785,1359,3985,2709
10128,2691,2829,2091,1970,7273,4876,6020,5113,4364,3930,4075,3226,7063,4932
10023,2561,2761,1983,1769,5468,3641,6381,5372,4454,4160,4132,3649,8441,6226
10024,2958,3131,1871,1947,4740,3172,5455,4663,4554,4393,4309,3962,7960,6168
10025,4015,4089,3857,3671,10370,8049,7259,6767,6512,6172,6735,6205,12561,8338
10031,2849,3045,3383,3643,5739,6001,4170,4541,3908,3881,3581,3026,5317,3354
10032,2782,2960,3272,3568,5872,5939,3996,4212,3792,3817,3839,3242,6119,3921
10033,2717,2831,2996,3386,4875,5756,3884,4024,3654,3666,3738,3102,5601,3696
10034,2122,2240,2329,2394,3375,3119,3192,3019,2997,2731,2901,2367,3732,2390
10040,2348,2245,2512,2506,3690,3448,3244,3076,2943,2784,3004,2400,4838,2867
11691,4995,5177,4572,4847,4548,4150,4200,3412,4063,3169,3673,3157,5824,4248
11692,1407,1511,1477,1525,1443,1239,1514,1025,1484,1141,1156,931,1594,1093
11693,728,737,816,838,790,708,884,739,982,821,957,846,1218,852
11694,1092,1075,1093,1286,1038,1064,1166,1088,1590,1424,1642,1778,2825,2247
11697,214,203,209,235,171,159,172,163,295,260,365,305,767,561
11204,5919,6263,5361,5969,5646,5897,5008,5180,4839,4584,4920,4632,7927,5989
11218,5708,6045,4854,5416,5844,6068,6083,5931,4655,4939,4433,4493,6173,4578
11219,9956,10707,7057,7445,7282,7642,5711,5960,4230,4385,4522,4386,7371,5567
11230,6412,6701,6021,6199,6717,6665,5300,5231,4887,4828,5450,5055,9684,7258
11201,2350,2544,2115,1777,4873,4439,6101,5840,3688,3727,2825,2562,4692,3595
11205,3342,3489,2862,2642,4767,4002,3885,3661,2302,2025,1749,1380,2630,1630
11215,3658,3743,2272,2262,6382,5055,7883,7385,4679,4652,3769,3397,4762,3589
11217,1783,1810,1260,1404,3749,2899,4837,4295,2617,2507,1989,1711,2958,2062
11231,2070,2095,1424,1518,2898,2207,4088,3855,2708,2514,1893,1507,2671,1888
11203,4215,4360,4922,4946,5817,5175,5559,4229,5843,4519,6433,4450,9542,6164
11210,4367,4580,4874,4858,4649,4303,4539,3577,4425,3564,4568,3580,5970,4154
11225,3360,3488,3459,3477,5273,4470,4706,3908,4228,3374,4451,3132,5936,3567
11226,6685,6665,6842,6915,8941,7672,8319,6569,7966,6096,8070,5747,9296,5789
11220,6818,7375,5964,6634,8843,9690,7856,8587,6791,6882,5670,5396,7348,5744
11232,1819,1971,1539,1651,2732,3569,2233,3280,1698,2262,1314,1487,1492,1218
