,poverty_rate_nyc,poverty_rate_boro,poverty_rate,crime_count,crime_count_nyc,crime_count_boro,pop_2010,female_85_over,male_85_over,female_80_84,male_80_84,female_75_79,male_75_79,female_70_74,male_70_74,female_65_69,male_65_69,female_60_64,male_60_64,female_55_59,male_55_59,female_50_54,male_50_54,female_45_49,male_45_49,female_40_44,male_40_44,female_35_39,male_35_39,female_30_34,male_30_34,female_25_29,male_25_29,female_20_24,male_20_24,female_15_19,male_15_19,female_10_14,male_10_14,female_5_9,male_5_9,female_under_5,male_under_5
0,20.5,14.4,24.2,1234,99843,26150,110193,1.011545705,0.514368276,1.1180242,0.514368276,1.171263448,0.888454295,1.9166129140000001,0.935215048,1.9166129140000001,1.356061819,2.502244638,1.9171908480000002,2.44900539,2.384798371,3.407311848,2.899166648,3.247594105,2.9459274,2.981397867,2.852405895,3.14111561,3.039448905,4.738293038,4.348749971,6.388709714,5.70481179,7.027580686,6.078897809,3.8864650760000004,3.6005779330000003,2.182809152,2.15099461,2.02309141,2.104233857,2.2360484,2.525080629
1,20.5,14.4,21.1,2078,99843,26150,115723,1.123982683,0.371816121,0.909890743,0.325339106,0.802844773,0.604201196,1.498643577,0.836586272,1.873304471,1.208402393,2.62262626,2.09146568,3.4789940180000003,2.649189861,3.532517003,3.532253148,3.4789940180000003,3.253391058,3.907177897,3.625207179,3.960700882,2.881574937,4.92411461,4.136454345,5.673436398,4.554747481000001,3.960700882,4.554747481000001,2.836718199,2.556235831,2.569103275,2.9280519519999997,2.9437641689999996,2.6027128459999997,3.4789940180000003,3.811115239
2,20.5,27.5,28.2,1157,99843,20421,52246,0.709651829,0.147931751,0.658962413,0.345174086,1.0644777429999999,0.6903481709999999,1.317924825,0.8875905059999999,1.723440156,0.936901089,1.67275074,1.676559844,2.23033432,1.972423346,3.041364981,2.6134609330000003,3.548259145,2.909324435,3.1427438139999997,2.958635019,3.801706227,3.353119688,3.700327394,3.7969149410000003,3.903085059,4.635194862,4.359289807,5.27623245,3.9537744760000004,4.487263112,3.903085059,4.142089026,3.852395643,4.19139961,4.0044638919999995,4.240710193
3,20.5,27.5,31.4,1378,99843,20421,79762,0.5413506020000001,0.229324699,0.5413506020000001,0.32105457800000003,1.028566145,0.550379277,1.407511566,0.8255689159999999,1.7323219280000002,1.009028675,1.786456988,1.651137831,2.706753012,2.247382048,3.2481036139999997,2.3849768680000003,3.572913976,3.118815904,3.410508795,2.3391119280000003,3.789454217,2.4767067469999997,3.789454217,2.843626265,4.54734506,4.081979639,4.818020361,4.678223856000001,4.65561518,4.999278434,4.005994458,3.715060121,3.9518593969999998,3.89851988,4.54734506,4.540629036
4,20.5,27.5,32.6,2277,99843,20421,146441,0.695102867,0.27918329199999997,0.695102867,0.27918329199999997,0.908980672,0.511836036,1.3902057330000002,0.930610974,1.711022441,1.209794267,2.566533662,1.8146914,2.9408198210000003,2.419588533,3.31510598,2.931424569,3.6893921389999997,3.536321702,3.849800492,2.88489402,3.6893921389999997,2.7453023739999995,3.849800492,3.3967300560000004,3.903269944,3.350199508,4.59837281,4.280810482,4.1706172,3.815504995,4.010208846,3.862035543,3.849800492,4.0481577380000004,3.6893921389999997,4.187749384
5,20.5,27.5,31.4,1513,99843,20421,83268,0.5413506020000001,0.229324699,0.5413506020000001,0.32105457800000003,1.028566145,0.550379277,1.407511566,0.8255689159999999,1.7323219280000002,1.009028675,1.786456988,1.651137831,2.706753012,2.247382048,3.2481036139999997,2.3849768680000003,3.572913976,3.118815904,3.410508795,2.3391119280000003,3.789454217,2.4767067469999997,3.789454217,2.843626265,4.54734506,4.081979639,4.818020361,4.678223856000001,4.65561518,4.999278434,4.005994458,3.715060121,3.9518593969999998,3.89851988,4.54734506,4.540629036
6,20.5,27.5,34.2,1895,99843,20421,128200,0.47888623399999997,0.18716167399999997,0.47888623399999997,0.18716167399999997,0.69172456,0.5146946029999999,1.010982049,0.842227532,1.809125773,1.21655088,2.2880120059999998,1.544083809,3.032946148,2.3395209230000003,3.831089871,3.181748455,3.6714611269999997,3.1349580360000004,3.5118323819999997,3.1349580360000004,3.5650419639999997,2.9010059439999996,4.309976105,3.275329292,4.629233594,3.6496526389999997,4.256766524,4.632251427,4.309976105,3.977185569,3.831089871,3.6496526389999997,3.4054132189999997,4.211137661,4.097137779,4.304718498
7,20.5,27.5,27.6,2035,99843,20421,139286,0.833963144,0.478773035,0.677595055,0.38301842799999997,0.677595055,0.478773035,1.563680896,0.7660368559999999,1.667926289,1.532073711,2.658257523,2.0587240490000003,2.8667483089999997,2.1066013530000003,3.75283415,2.9205155119999997,3.492220667,2.681128995,3.440097971,3.30353394,3.59646606,3.30353394,4.430429205,3.9738161880000002,4.274061115,4.452589223,4.013447632,4.596221133999999,3.023116398,3.44716585,3.335852578,3.5429204569999997,3.59646606,3.2556566360000003,4.274061115,4.596221133999999
8,20.5,27.5,15.5,966,99843,20421,101731,2.371788897,0.8512844409999999,1.3703669180000002,0.803990861,1.5811925980000001,1.087752342,2.002843957,1.276926662,2.688027416,2.459266164,3.267798035,2.506559744,3.531330135,2.695734064,3.267798035,2.506559744,3.373210875,3.310550605,3.0042659360000004,3.215963445,3.478623715,2.601146904,4.058394334,3.830779986,3.7948622339999996,3.4524313460000005,4.058394334,3.310550605,2.582614576,3.074082705,2.529908156,3.026789125,2.7407338360000004,3.026789125,3.056972355,4.256422207
9,20.5,27.5,24.6,2296,99843,20421,172298,0.952191077,0.282602974,0.687693555,0.47100495700000006,1.375387111,0.989110411,1.692784136,1.083311402,2.327578188,1.507215864,3.068171247,2.119522308,3.173970256,2.87313024,3.491367281,3.2499342060000003,3.702965298,3.061532223,3.385568273,2.7318287530000003,3.702965298,3.014431727,3.59716629,3.4383361889999997,4.126161332,4.427446599,4.231960341000001,4.0977431289999995,3.22686976,3.344135197,3.22686976,3.344135197,3.22686976,3.53253718,3.755864803,3.485436685
