the_geom,male_65_69,the_geom_webmercator,shared_puma,future_fp_mhhi,current_fp_mhhi,cd_tot_resunits,future_fp_resunits,future_fp_bldg,current_fp_resunits,cd_tot_bldgs,current_fp_bldg,moe_under18_rate_nyc,moe_under18_rate_boro,total_lot_area,lot_area_other_no_data,lot_area_parking,lot_area_open_space,lot_area_public_facility_institution,lot_area_transportation_utility,lot_area_industrial_manufacturing,lot_area_commercial_office,lot_area_mixed_use,lot_area_res_multifamily_elevator,lot_area_res_multifamily_walkup,lot_area_res_1_2_family_bldg,lots_total,lots_other_no_data,lots_vacant,lots_parking,lots_open_space,lots_public_facility_institution,lots_transportation_utility,lots_industrial_manufacturing,lots_commercial_office,lots_mixed_use,lots_res_multifamily_elevator,lots_res_multifamily_walkup,lots_res_1_2_family_bldg,pct_served_parks,count_public_schools,count_libraries,count_hosp_clinic,count_parks,crime_count_nyc,crime_count_boro,crime_count,pct_clean_strts_nyc,pop_11_15_acs,pop_2010,pop_2000,puma,borocd,future_fp_pop,current_fp_pop,lot_area_vacant,cb_email,cb_website,acs_tooltip,neighborhoods,son_issue_3,son_issue_2,son_issue_1,cd_son_fy2018,shared_puma_cd,cd_short_title,cd_full_title,future_fp_cost_burden,current_fp_cost_burden,future_fp_rent_burden,current_fp_rent_burden,future_fp_permortg,current_fp_permortg,future_fp_ownerocc,current_fp_ownerocc,future_fp_openspace,current_fp_openspace,future_fp_area,current_fp_area,pct_hispanic,pct_other_nh,pct_asian_nh,pct_black_nh,pct_white_nh,female_85_over,male_85_over,female_80_84,male_80_84,female_75_79,male_75_79,female_70_74,male_70_74,female_65_69,cartodb_id,female_60_64,male_60_64,female_55_59,male_55_59,female_50_54,male_50_54,female_45_49,male_45_49,female_40_44,male_40_44,female_35_39,male_35_39,female_30_34,male_30_34,female_25_29,male_25_29,female_20_24,male_20_24,female_15_19,male_15_19,female_10_14,male_10_14,female_5_9,male_5_9,female_under_5,male_under_5,moe_over65_rate_nyc,over65_rate_nyc,moe_over65_rate_boro,over65_rate_boro,moe_over65_rate,over65_rate,under18_rate_nyc,under18_rate_boro,moe_under18_rate,under18_rate,moe_lep_rate_nyc,lep_rate_nyc,moe_lep_rate_boro,lep_rate_boro,moe_lep_rate,lep_rate,moe_foreign_born,pct_foreign_born,pct_lot_area_other_no_data,pct_lot_area_vacant,pct_lot_area_parking,pct_lot_area_open_space,pct_lot_area_public_facility_institution,pct_lot_area_transportation_utility,pct_lot_area_industrial_manufacturing,pct_lot_area_commercial_office,pct_lot_area_mixed_use,pct_lot_area_res_multifamily_elevator,pct_lot_area_res_multifamily_walkup,pct_lot_area_res_1_2_family_bldg,crime_per_1000_nyc,crime_per_1000_boro,crime_per_1000,pct_clean_strts_boro,pct_clean_strts,moe_hh_rent_burd_nyc,pct_hh_rent_burd_nyc,moe_hh_rent_burd_boro,pct_hh_rent_burd_boro,moe_hh_rent_burd,pct_hh_rent_burd,moe_mean_commute_nyc,mean_commute_nyc,moe_mean_commute_boro,mean_commute_boro,moe_mean_commute,mean_commute,moe_unemnployment,unemployment_nyc,moe_unemployment_boro,unemployment_boro,moe_unemployment_cd,unemployment_cd,moe_bach_deg_nyc,pct_bach_deg_nyc,moe_bach_deg_boro,pct_bach_deg_boro,moe_bach_deg,pct_bach_deg,poverty_rate_nyc,poverty_rate_boro,moe_poverty_rate,poverty_rate,pop_change_00_10,area_sqmi,acres
,1.356061819,,false,34039,32584,45456,0,15,0,2610,1,0,0,30013141,2754,288929,9124983,6082352,1405762,234209,669997,2330828,5198435,2817723,617206,2480,3,92,38,22,201,23,20,77,313,366,954,371,100,33,4,14,16,99843,26150,1234,95,131157,110193,111724,3802,109,0,0,1239963,nyc-cb9m@juno.com,www.cb9m.org,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3802, which is an approximation of Manhattan CD 9","Hamilton Heights, Manhattanville, Morningside Heights, West Harlem",Health care services,Crime,Affordable housing,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn09_statement_2018.pdf,,Manhattan CD 9,Manhattan Community District 9,0.4247,,0.5556,0.5382,1,,0.0459,0,0.201,0.099,0.278454936,0.139924422,38.1,3.1,8.4,22.5,28,1.011545705,0.514368276,1.1180242,0.514368276,1.171263448,0.888454295,1.916612914,0.935215048,1.916612914,9,2.502244638,1.917190848,2.44900539,2.384798371,3.407311848,2.899166648,3.247594105,2.9459274,2.981397867,2.852405895,3.14111561,3.039448905,4.738293038,4.348749971,6.388709714,5.70481179,7.027580686,6.078897809,3.886465076,3.600577933,2.182809152,2.15099461,2.02309141,2.104233857,2.2360484,2.525080629,0.1,12.7,0.1,14.1,0.6,11.3,21.3,14.6,0.9,16.1,0.1,23.1,0.2,15.8,1.3,20.8,1.4,34.5,9.18e-05,0.041314003,0.00962675,0.304032923,0.202656296,0.046838217,0.007803548,0.022323455,0.077660249,0.173205297,0.093882976,0.020564525,11.8,15.7,9.408571,94.5,94.5,0.2,44.8,0.6,37.2,2.1,43.7,0.1,39.9,0.2,31.1,1,35.6,0.1,9.5,0.3,7.5,1.2,9,0.2,35.7,0.4,59.9,1.6,44,20.5,14.4,2.3,24.2,-0.01,1.5,961.7
,1.208402393,,false,36283,,59816,1012,50,0,4621,1,0,0,25592284,31420,207666,1436352,3716023,170543,177339,1278643,5808961,5592375,5292812,956899,4394,9,202,38,54,286,14,17,127,708,288,2089,562,99,74,6,35,21,99843,26150,2078,95,131891,115723,107109,3803,110,10682,37,923251,MN10CB@cb.nyc.gov,www.nyc.gov/html/mancb10,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3803, which is an approximation of Manhattan CD 10",Central Harlem,Trash removal & cleanliness,"Commercial development (retail mix, small business and MBWE support, etc.)",Affordable housing,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/mn10_statement_2018.pdf,,Manhattan CD 10,Manhattan Community District 10,0.0954,,0.3765,,0.243,,0.1183,,0.017,0.016,0.169588769,0.10814023,22.9,3,3.1,58.4,12.6,1.123982683,0.371816121,0.909890743,0.325339106,0.802844773,0.604201196,1.498643577,0.836586272,1.873304471,10,2.62262626,2.09146568,3.478994018,2.649189861,3.532517003,3.532253148,3.478994018,3.253391058,3.907177897,3.625207179,3.960700882,2.881574937,4.92411461,4.136454345,5.673436398,4.554747481,3.960700882,4.554747481,2.836718199,2.556235831,2.569103275,2.928051952,2.943764169,2.602712846,3.478994018,3.811115239,0.1,12.7,0.1,14.1,0.5,9.5,21.3,14.6,1,21.4,0.1,23.1,0.2,15.8,1,11.3,1.2,22.9,0.001227714,0.036075366,0.008114399,0.056124416,0.145200913,0.006663844,0.006929393,0.049962051,0.226980953,0.218518011,0.206812803,0.037390137,11.8,15.7,15.755434,94.5,91.3,0.2,44.8,0.6,37.2,1.8,40.5,0.1,39.9,0.2,31.1,0.7,36,0.1,9.5,0.3,7.5,1.1,13,0.2,35.7,0.4,59.9,1.2,35.1,20.5,14.4,2.2,21.1,0.08,1.4,897.1
,0.936901089,,true,19370,18219,19017,0,102,0,3176,22,0,0,48601151,8219473,1842397,3444778,2193992,8547745,10149082,1307919,1643831,1322814,2737336,1898231,2995,84,192,170,50,100,52,358,111,195,106,757,820,97,39,1,19,18,99843,20421,1157,95,,52246,46824,3710,202,848,848,5293553,brxcb2@optonline.net,www.bxcb2.org,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3710, which is an approximation of both Bronx CD 2 and Bronx CD 1","Hunts Point, Longwood",Health care services,Cultural facilities & programs,Affordable housing,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx02_statement_2018.pdf,Bronx CD 1,Bronx CD 2,Bronx Community District 2,0.4179,0.4182,0.4036,0.3732,0.828,0.764,0.0446,0.0484,0.086,0.081,0.81265752,0.740241191,68.5,1.1,0.8,27.9,1.7,0.709651829,0.147931751,0.658962413,0.345174086,1.064477743,0.690348171,1.317924825,0.887590506,1.723440156,14,1.67275074,1.676559844,2.23033432,1.972423346,3.041364981,2.613460933,3.548259145,2.909324435,3.142743814,2.958635019,3.801706227,3.353119688,3.700327394,3.796914941,3.903085059,4.635194862,4.359289807,5.27623245,3.953774476,4.487263112,3.903085059,4.142089026,3.852395643,4.19139961,4.004463892,4.240710193,0.1,12.7,0.1,11.1,0.5,8.6,21.3,25.7,0.8,29.1,0.1,23.1,0.3,25.8,1.2,33.7,1.1,29,0.169120954,0.108918264,0.037908506,0.070878527,0.045142799,0.175875361,0.208823902,0.026911276,0.033822882,0.02721775,0.056322452,0.039057326,11.8,14.3,20.880331,93.8,92.3,0.2,44.8,0.5,50.8,1.8,48.8,0.1,39.9,0.3,43,0.8,41.6,0.1,9.5,0.4,14,1.1,14,0.2,35.7,0.3,18.9,0.7,9.7,20.5,27.5,1.7,28.2,0.12,2.2,1420.1
,1.009028675,,true,,,32893,0,0,0,3642,0,0,0,30849159,210578,1333608,6229794,3851153,332165,2105729,1842236,2687791,4055688,3859573,3277768,3763,44,279,222,54,208,26,136,126,308,115,1030,1215,100,83,1,25,22,99843,20421,1378,95,,79762,68574,3705,203,14,0,1063076,brxcomm3@optonline.net,www.nyc.gov/bronxcb3,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3705, which is an approximation of both Bronx CD 3 and Bronx CD 6","Claremont, Crotona Park East, Melrose, Morrisania",Youth and children’s services,Unemployment,Health care services,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx03_statement_2018.pdf,Bronx CD 6,Bronx CD 3,Bronx Community District 3,,,,,,,,,0,0,0.005340146,0,63.6,1.4,0.8,29.6,4.6,0.541350602,0.229324699,0.541350602,0.321054578,1.028566145,0.550379277,1.407511566,0.825568916,1.732321928,15,1.786456988,1.651137831,2.706753012,2.247382048,3.248103614,2.384976868,3.572913976,3.118815904,3.410508795,2.339111928,3.789454217,2.476706747,3.789454217,2.843626265,4.54734506,4.081979639,4.818020361,4.678223856,4.65561518,4.999278434,4.005994458,3.715060121,3.951859397,3.89851988,4.54734506,4.540629036,0.1,12.7,0.1,11.1,0.4,8.2,21.3,25.7,0.8,30,0.1,23.1,0.3,25.8,1,27.5,1.1,31.3,0.006826053,0.034460453,0.043229963,0.201943722,0.124838184,0.010767392,0.068258879,0.059717544,0.087126881,0.131468349,0.125111125,0.106251454,11.8,14.3,15.410423,93.8,89.7,0.2,44.8,0.5,50.8,1.6,52,0.1,39.9,0.3,43,0.8,43,0.1,9.5,0.4,14,1.4,18.2,0.2,35.7,0.3,18.9,0.9,12.3,20.5,27.5,1.9,31.4,0.16,1.6,1028.8
,1.209794267,,false,,,51594,0,4,0,3306,13,0,0,36735545,314373,2403981,6749218,4465477,2197394,1186999,2556066,3469733,5816581,4494127,1703072,3415,25,198,181,92,164,59,37,194,317,305,1095,748,100,77,3,26,33,99843,20421,2277,95,141348,146441,139563,3708,204,0,0,1378524,bx04@cb.nyc.gov,www.nyc.gov/html/bxcb4,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3708, which is an approximation of Bronx CD 4","Concourse, Concourse Village, East Concourse, Highbridge, Mount Eden, West Concourse",Traffic,Schools,"Quality of life issues (noise, graffiti, petty crime, etc.)",http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx04_statement_2018.pdf,,Bronx CD 4,Bronx Community District 4,0.3265,,0.3896,,,,0.0788,,0.031,0.03,0.151685334,0.11359534,63.2,1.8,1.6,31.8,1.6,0.695102867,0.279183292,0.695102867,0.279183292,0.908980672,0.511836036,1.390205733,0.930610974,1.711022441,16,2.566533662,1.8146914,2.940819821,2.419588533,3.31510598,2.931424569,3.689392139,3.536321702,3.849800492,2.88489402,3.689392139,2.745302374,3.849800492,3.396730056,3.903269944,3.350199508,4.59837281,4.280810482,4.1706172,3.815504995,4.010208846,3.862035543,3.849800492,4.048157738,3.689392139,4.187749384,0.1,12.7,0.1,11.1,0.5,8.6,21.3,25.7,0.9,28.5,0.1,23.1,0.3,25.8,1.4,34.4,1.3,41,0.008557733,0.037525617,0.065440189,0.183724455,0.121557391,0.059816562,0.032312002,0.069580185,0.094451654,0.158336592,0.122337289,0.04636033,11.8,14.3,16.109177,93.8,92.2,0.2,44.8,0.5,50.8,1.7,56.2,0.1,39.9,0.3,43,1,39.9,0.1,9.5,0.4,14,1.3,14.5,0.2,35.7,0.3,18.9,0.9,14.2,20.5,27.5,2.3,32.6,0.05,2,1275
,1.009028675,,true,,,31147,0,0,0,4329,0,0,0,26975533,113795,1744498,1695899,6804905,796385,867466,2009064,2050572,2742286,4341995,2931077,4198,36,206,248,63,158,45,95,214,391,136,1304,1302,99,62,3,27,17,99843,20421,1513,95,,83268,75688,3705,206,158,0,877591,bronxcb6@bronxcb6.org,www.bronxcb6.org,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3705, which is an approximation of both Bronx CD 6 and Bronx CD 3","Bathgate, Belmont, Bronx Park South, East Tremont, West Farms",Unemployment,Schools,Crime,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx06_statement_2018.pdf,Bronx CD 3,Bronx CD 6,Bronx Community District 6,,,,,,,,,0.001,0.001,0.004308848,0.003017349,63.6,1.4,0.8,29.6,4.6,0.541350602,0.229324699,0.541350602,0.321054578,1.028566145,0.550379277,1.407511566,0.825568916,1.732321928,18,1.786456988,1.651137831,2.706753012,2.247382048,3.248103614,2.384976868,3.572913976,3.118815904,3.410508795,2.339111928,3.789454217,2.476706747,3.789454217,2.843626265,4.54734506,4.081979639,4.818020361,4.678223856,4.65561518,4.999278434,4.005994458,3.715060121,3.951859397,3.89851988,4.54734506,4.540629036,0.1,12.7,0.1,11.1,0.4,8.2,21.3,25.7,0.8,30,0.1,23.1,0.3,25.8,1,27.5,1.1,31.3,0.004218452,0.032532851,0.06466964,0.062868044,0.252262115,0.029522494,0.032157511,0.074477268,0.076015996,0.101658269,0.16096049,0.108656871,11.8,14.3,17.414224,93.8,92.3,0.2,44.8,0.5,50.8,1.6,52,0.1,39.9,0.3,43,0.8,43,0.1,9.5,0.4,14,1.4,18.2,0.2,35.7,0.3,18.9,0.9,12.3,20.5,27.5,1.9,31.4,0.1,1.5,985.3
,1.21655088,,false,26827,26827,57057,8270,6,0,3441,1,0,0,25017429,49349,694359,2184162,3786689,444222,387675,1749846,3369493,4515942,4136807,3042532,3338,13,116,106,69,138,24,21,221,259,309,876,1186,100,52,3,34,22,99843,20421,1895,95,135594,128200,128313,3707,205,4088,4048,656353,bx05@cb.nyc.gov,www1.nyc.gov/site/bronxcb5/index.page,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3707, which is an approximation of Bronx CD 5","Fordham, Morris Heights, Mount Hope, University Heights",Transit (buses & subways),Schools,Affordable housing,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx05_statement_2018.pdf,,Bronx CD 5,Bronx Community District 5,,,0.5103,0.5103,0,0,0.0051,0.0051,0.036,0.036,0.091897649,0.091854784,68.8,1.2,1.5,27,1.4,0.478886234,0.187161674,0.478886234,0.187161674,0.69172456,0.514694603,1.010982049,0.842227532,1.809125773,17,2.288012006,1.544083809,3.032946148,2.339520923,3.831089871,3.181748455,3.671461127,3.134958036,3.511832382,3.134958036,3.565041964,2.901005944,4.309976105,3.275329292,4.629233594,3.649652639,4.256766524,4.632251427,4.309976105,3.977185569,3.831089871,3.649652639,3.405413219,4.211137661,4.097137779,4.304718498,0.1,12.7,0.1,11.1,0.4,7.4,21.3,25.7,0.7,28.4,0.1,23.1,0.3,25.8,1.3,36.4,1.4,42.2,0.001972585,0.026235829,0.02775501,0.087305614,0.151362036,0.017756501,0.015496197,0.069945077,0.134685822,0.180511834,0.165357,0.121616494,11.8,14.3,13.975545,93.8,90.7,0.2,44.8,0.5,50.8,1.8,59.2,0.1,39.9,0.3,43,0.8,41.9,0.1,9.5,0.4,14,1.1,15,0.2,35.7,0.3,18.9,0.8,12.7,20.5,27.5,2.4,34.2,0,1.4,879.5
,1.532073711,,false,24831,24831,50654,0,0,0,6816,0,0,0,33449272,73526,1064272,2596496,7872597,986908,333132,2194797,2556823,5135707,5150064,3497288,3665,13,128,105,30,160,38,24,245,312,354,977,1279,98,46,4,20,16,99843,20421,2035,95,128610,139286,141411,3706,207,3,0,1987662,info@bronxcb7.info,www.bronxcb7.info,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3706, which is an approximation of Bronx CD 7","Bedford Park, Fordham, Kingsbridge Heights, Norwood, University Heights",Schools,"Quality of life issues (noise, graffiti, petty crime, etc.)",Affordable housing,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx07_statement_2018.pdf,,Bronx CD 7,Bronx Community District 7,,,0.4537,0.4537,0,0,0.0123,0.0123,0,0,0.057456602,0.045718969,67.2,2.2,6.6,16.2,7.8,0.833963144,0.478773035,0.677595055,0.383018428,0.677595055,0.478773035,1.563680896,0.766036856,1.667926289,19,2.658257523,2.058724049,2.866748309,2.106601353,3.75283415,2.920515512,3.492220667,2.681128995,3.440097971,3.30353394,3.59646606,3.30353394,4.430429205,3.973816188,4.274061115,4.452589223,4.013447632,4.596221134,3.023116398,3.44716585,3.335852578,3.542920457,3.59646606,3.255656636,4.274061115,4.596221134,0.1,12.7,0.1,11.1,0.6,9,21.3,25.7,1,26.4,0.1,23.1,0.3,25.8,1.5,35.2,1.5,42.8,0.002198135,0.059423177,0.031817494,0.077624888,0.235359293,0.029504618,0.00995932,0.065615688,0.076438824,0.153537183,0.1539664,0.104554981,11.8,14.3,15.823031,93.8,93.9,0.2,44.8,0.5,50.8,2,55.8,0.1,39.9,0.3,43,0.9,42.8,0.1,9.5,0.4,14,1.3,15.4,0.2,35.7,0.3,18.9,1.2,17.8,20.5,27.5,2.7,27.6,-0.02,1.9,1223.5
,2.459266164,,false,,,44616,0,0,0,5420,0,0,0,78946327,83900,780353,12854877,12524324,1553466,412449,2160929,1538129,12165855,2993738,18227826,5011,18,446,79,50,142,32,11,188,145,282,542,3076,91,33,6,10,20,99843,20421,966,95,109425,101731,101332,3701,208,383,36,13650481,bx08@cb.nyc.gov,www.nyc.gov/html/bxcb8,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3701, which is an approximation of Bronx CD 8","Fieldston, Kingsbridge, Marble Hill (MN), North Riverdale, Riverdale, Spuyten Duyvil",Senior services,Parks,Affordable housing,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx08_statement_2018.pdf,,Bronx CD 8,Bronx Community District 8,,,,,,,,,0.131,0.119,0.563285513,0.532572974,45.7,2.3,5.2,12.9,34,2.371788897,0.851284441,1.370366918,0.803990861,1.581192598,1.087752342,2.002843957,1.276926662,2.688027416,20,3.267798035,2.506559744,3.531330135,2.695734064,3.267798035,2.506559744,3.373210875,3.310550605,3.004265936,3.215963445,3.478623715,2.601146904,4.058394334,3.830779986,3.794862234,3.452431346,4.058394334,3.310550605,2.582614576,3.074082705,2.529908156,3.026789125,2.740733836,3.026789125,3.056972355,4.256422207,0.1,12.7,0.1,11.1,0.6,16.5,21.3,25.7,1,21.6,0.1,23.1,0.3,25.8,1.2,20.6,1.5,32.3,0.001062747,0.172908374,0.009884602,0.16283059,0.15864353,0.019677496,0.005224423,0.027372128,0.019483224,0.154102863,0.037921182,0.230888842,11.8,14.3,8.827964,93.8,97,0.2,44.8,0.5,50.8,2,42,0.1,39.9,0.3,43,1.1,43.4,0.1,9.5,0.4,14,1.2,10.8,0.2,35.7,0.3,18.9,1.5,38.6,20.5,27.5,2,15.5,0,3.3,2113.1
,1.507215864,,false,43724,,76284,2373,950,66,13473,67,0,0,81049507,206547,3073134,15787097,4931968,654433,3064446,4657362,2247558,14631857,11087374,16772888,11004,26,379,199,92,153,35,70,283,290,108,3137,6232,89,68,4,10,27,99843,20421,2296,95,186187,172298,167859,3709,209,14647,300,3934843,bx09@cb.nyc.gov,www.nyc.gov/bxcb9,"American Community Survey 2011-2015 5-Year Estimates for PUMA 3709, which is an approximation of Bronx CD 9","Bronx River, Castle Hill, Clason Point, Harding Park, Parkchester, Soundview, Soundview-Bruckner, Unionport",Youth and children’s services,Senior services,Affordable housing,http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx09_statement_2018.pdf,,Bronx CD 9,Bronx Community District 9,0.3269,,0.3856,,,,0.2779,,0.5,0.469,1.075844283,0.663917077,58,2.8,6.9,29.5,2.9,0.952191077,0.282602974,0.687693555,0.471004957,1.375387111,0.989110411,1.692784136,1.083311402,2.327578188,21,3.068171247,2.119522308,3.173970256,2.87313024,3.491367281,3.249934206,3.702965298,3.061532223,3.385568273,2.731828753,3.702965298,3.014431727,3.59716629,3.438336189,4.126161332,4.427446599,4.231960341,4.097743129,3.22686976,3.344135197,3.22686976,3.344135197,3.22686976,3.53253718,3.755864803,3.485436685,0.1,12.7,0.1,11.1,0.5,11.4,21.3,25.7,0.8,24.7,0.1,23.1,0.3,25.8,1,24.8,1,32,0.002548405,0.048548636,0.037916751,0.194783381,0.060851302,0.008074485,0.037809558,0.057463175,0.027730681,0.18052987,0.13679755,0.206946206,11.8,14.3,12.331688,93.8,92.3,0.2,44.8,0.5,50.8,1.7,47.7,0.1,39.9,0.3,43,0.8,44.5,0.1,9.5,0.4,14,1.1,13.4,0.2,35.7,0.3,18.9,0.9,16.3,20.5,27.5,1.9,24.6,0.03,4.1,2622.5
