Activity Category Segmented by Generations,,,,
,Gen Z(2000+),Millennials(1980-1999),Gen X(1965-1979),Boomers(1945-1964)
Individual  Sports,0.4580,0.4240,0.3440,0.2380
Racquet Sports,0.1870,0.1850,0.1130,0.0630
Team Sports,0.5710,0.2950,0.1450,0.0520
Outdoor Sports,0.6020,0.5780,0.5060,0.3890
Winter Sports,0.1330,0.1160,0.0670,0.0290
Water Sports,0.1490,0.1900,0.1290,0.0840
Fitness Sports,0.5080,0.6650,0.6540,0.5970
"Description: While age clearly affects how often someone participates, what they do can also be age dependent. Young kids, ages 6 to 17, who tend to be more active overall, focus on team sports and outdoor activities. While Boomers prefer fitness activities, especially low impact such as aquatic exercise, cycling, and walking. Millennials are more likely than the other generations to participate in water sports, such as stand up paddling, boardsailing, and surfing.",,,,
,,,,
,,,,
,,,,
