"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,
00000,Total,"9,491,740"
00000,"$1 under $25,000",3553130
00000,"$25,000 under $50,000",2091460
00000,"$50,000 under $75,000",1274200
00000,"$75,000 under $100,000",817760
00000,"$100,000 under $200,000",1233950
00000,"$200,000 or more",521240
,,
10001,,"14,310"
10001,"$1 under $25,000",3760
10001,"$25,000 under $50,000",2430
10001,"$50,000 under $75,000",1930
10001,"$75,000 under $100,000",1340
10001,"$100,000 under $200,000",2480
10001,"$200,000 or more",2370
,,
10002,,"43,190"
10002,"$1 under $25,000",22380
10002,"$25,000 under $50,000",8260
10002,"$50,000 under $75,000",4690
10002,"$75,000 under $100,000",2690
10002,"$100,000 under $200,000",3530
10002,"$200,000 or more",1640
,,
10003,,"30,050"
10003,"$1 under $25,000",5320
10003,"$25,000 under $50,000",4020
10003,"$50,000 under $75,000",4340
10003,"$75,000 under $100,000",3340
10003,"$100,000 under $200,000",6580
10003,"$200,000 or more",6450
,,
10004,,"2,490"
10004,"$1 under $25,000",340
10004,"$25,000 under $50,000",260
10004,"$50,000 under $75,000",290
10004,"$75,000 under $100,000",200
10004,"$100,000 under $200,000",520
10004,"$200,000 or more",880
,,
10005,,"6,160"
10005,"$1 under $25,000",750
10005,"$25,000 under $50,000",750
10005,"$50,000 under $75,000",910
10005,"$75,000 under $100,000",660
10005,"$100,000 under $200,000",1360
10005,"$200,000 or more",1730
,,
10006,,"2,430"
10006,"$1 under $25,000",300
10006,"$25,000 under $50,000",320
10006,"$50,000 under $75,000",360
10006,"$75,000 under $100,000",260
10006,"$100,000 under $200,000",650
10006,"$200,000 or more",540
,,
10007,,"3,330"
10007,"$1 under $25,000",440
10007,"$25,000 under $50,000",280
10007,"$50,000 under $75,000",230
10007,"$75,000 under $100,000",220
10007,"$100,000 under $200,000",570
10007,"$200,000 or more",1590
,,
10009,,"33,710"
10009,"$1 under $25,000",10130
10009,"$25,000 under $50,000",6860
10009,"$50,000 under $75,000",5800
10009,"$75,000 under $100,000",3710
10009,"$100,000 under $200,000",5100
10009,"$200,000 or more",2110
,,
10010,,"17,480"
10010,"$1 under $25,000",2650
10010,"$25,000 under $50,000",2430
10010,"$50,000 under $75,000",2570
10010,"$75,000 under $100,000",1950
10010,"$100,000 under $200,000",3950
10010,"$200,000 or more",3930
,,
10011,,"30,300"
10011,"$1 under $25,000",5130
10011,"$25,000 under $50,000",3630
10011,"$50,000 under $75,000",3770
10011,"$75,000 under $100,000",3260
10011,"$100,000 under $200,000",6970
10011,"$200,000 or more",7540
,,
10012,,"12,860"
10012,"$1 under $25,000",2490
10012,"$25,000 under $50,000",1840
10012,"$50,000 under $75,000",1740
10012,"$75,000 under $100,000",1420
10012,"$100,000 under $200,000",2790
10012,"$200,000 or more",2580
,,
10013,,"15,090"
10013,"$1 under $25,000",4530
10013,"$25,000 under $50,000",2070
10013,"$50,000 under $75,000",1570
10013,"$75,000 under $100,000",1140
10013,"$100,000 under $200,000",2040
10013,"$200,000 or more",3740
,,
10014,,"19,110"
10014,"$1 under $25,000",2880
10014,"$25,000 under $50,000",2250
10014,"$50,000 under $75,000",2460
10014,"$75,000 under $100,000",2110
