,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name
0,node,357610345,40.9036254,-73.8385814,Mount Vernon,clinic,Mount Vernon Neighborhood Health Network
1,node,357612579,40.8584327,-73.8553395,Bronx,clinic,New York Eye Surgery Center
2,node,357620336,40.721615,-73.9800434,New York,clinic,Ryan/NENA Comprehensive Heath Service Center
3,node,357642747,40.8207004,-73.9015657,Bronx,clinic,Montefiore South Bronx Center Children and Families
4,node,357642771,40.8051864,-73.9536189,New York,clinic,"NYC Health + Hospitals/Gotham Health, Sydenham"
5,node,357644089,40.8362222,-73.920093,Bronx,clinic,"NYC Health + Hospitals/Gotham Health, Morrisania"
6,node,357644094,40.8193623,-73.8893249,Bronx,clinic,Bella Vista Health Center
7,node,357644097,40.8333008,-73.8906211,Bronx,clinic,Plaza del Castillo Health Center
8,node,357644099,40.8253239,-73.9170033,Bronx,clinic,Montefiore Comprehensive Health Care Center
9,node,357644106,40.8445094,-73.9059884,Bronx,clinic,Claremont Family Health Center
10,node,357644109,40.8463333,-73.9044069,Bronx,clinic,Clay Avenue Family Health Care Center
11,node,357648628,40.8202928,-73.8582657,Bronx,clinic,Stevenson Family Health Center
12,node,357648641,40.8196512,-73.8477966,Bronx,clinic,Mannam Medical Center
13,node,357648649,40.831306,-73.9028319,Bronx,clinic,"Doctor Martin Luther King, Junior Health Center"
14,node,357648657,40.8232115,-73.8952716,Bronx,clinic,Community Healthcare Network- South Bronx
15,node,357718333,40.9176984,-74.1439653,Paterson,clinic,Barnert Medical Arts Complex
16,node,540400500,40.6763417,-74.2666874,Union,clinic,Overlook Emergency Services – Union Campus
17,node,1834885369,40.7995484,-73.9679788,New York,clinic,CityMD Urgent Care
18,node,2052328171,40.7766342,-73.9824614,,clinic,CityMD Urgent Care
19,node,2562375433,40.7348335,-73.9897815,,clinic,Mount Sinai Union Square
20,node,2710091457,40.7636248,-73.9711972,New York,clinic,Radiance Aesthetics and Wellness
21,node,2724212878,40.7782925,-73.9582717,New York,clinic,Manhattan Gastroenterology
22,node,2807605838,40.8606324,-73.8977191,Bronx,clinic,BronxCare Medical and Dental at Poe
23,node,3517606878,40.7642521,-73.9713106,New York,clinic,Memorial Sloan Kettering 60th Street Outpatient Center
24,node,3580663893,40.7315036,-74.0653674,,clinic,Quest Diagnostics
25,node,3676757691,40.7328324,-73.9865698,New York,clinic,CityMD Urgent Care
26,node,3827424938,40.9166718,-74.1711428,,clinic,Planned Parenthood
27,node,3847048441,40.7451494,-73.9804205,,clinic,New York Doctors Urgent Care
28,node,3886032772,40.740627,-73.922244,,clinic,Sunnyside Pediatrics
29,node,3972451775,40.7155941,-73.9980907,New York,clinic,Bayard Street Obstetrics and Gynecology
30,node,4194008549,40.6828721,-73.9958502,,clinic,Pro Health Urgent Care
31,node,4237963091,40.7116801,-73.7871657,Jamaica,clinic,
32,node,4573394345,40.6898076,-73.9823405,Brooklyn,clinic,Brooklyn Abortion Clinic
33,node,4574659098,40.6014408,-73.9610757,Brooklyn,clinic,Pain Physicians NY
34,node,4574842788,40.7419327,-73.9861037,New York,clinic,Manhattan Women's Health & Wellness
35,node,4635916748,40.7024335,-73.8909146,,clinic,
36,node,4660168289,40.6066315,-73.98919,,clinic,
37,node,4703808296,40.7446649,-73.9800511,,clinic,NYU Fink Children's Ambulatory Care Center
38,node,4739077221,40.5923358,-74.0684178,,clinic,
39,node,4759945018,40.7472861,-73.9749042,,clinic,NYU Langone Ambulatory Care Center
40,node,4776941242,40.6451576,-74.0092387,Brooklyn,clinic,Lutheran Family Health Centers Sunset Terrace
41,node,4798951427,40.8116962,-73.9252799,,clinic,DDI
42,node,4927687327,40.7466364,-73.8919801,,clinic,CityMD
43,node,4928962212,40.8268934,-73.9497877,New York,clinic,CityMD Urgent Care
44,node,4931621740,40.7667231,-73.9128808,Astoria,clinic,Fatima medical
45,node,4961221923,40.6927316,-73.9935774,Brooklyn,clinic,Brooklyn GYN Place
