,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
1,node,357612579,40.8584327,-73.8553395,Bronx,clinic,New York Eye Surgery Center,POINT (-73.8553395 40.8584327),17,10469,0,Bronx,65101.0,68040887.0683502,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
137,way,281603533,40.8601057,-73.8426702,Bronx,clinic,Eastchester Cancer Center,POINT (-73.8426702 40.8601057),17,10469,0,Bronx,65101.0,68040887.0683502,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
2,node,357620336,40.721615,-73.9800434,New York,clinic,Ryan/NENA Comprehensive Heath Service Center,POINT (-73.9800434 40.721615),94,10009,0,New York,61455.0,15903519.3012284,NY,New York,36,061,http://www.usps.com/,0.0,0.0
3,node,357642747,40.8207004,-73.9015657,Bronx,clinic,Montefiore South Bronx Center Children and Families,POINT (-73.90156570000001 40.8207004),38,10459,0,Bronx,46804.0,22551940.5372444,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
14,node,357648657,40.8232115,-73.8952716,Bronx,clinic,Community Healthcare Network- South Bronx,POINT (-73.8952716 40.8232115),38,10459,0,Bronx,46804.0,22551940.5372444,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
4,node,357642771,40.8051864,-73.9536189,New York,clinic,"NYC Health + Hospitals/Gotham Health, Sydenham",POINT (-73.9536189 40.8051864),48,10026,0,New York,34313.0,11092681.4884746,NY,New York,36,061,http://www.usps.com/,0.0,0.0
5,node,357644089,40.8362222,-73.920093,Bronx,clinic,"NYC Health + Hospitals/Gotham Health, Morrisania",POINT (-73.92009299999999 40.8362222),33,10452,0,Bronx,76104.0,27550385.8533127,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
6,node,357644094,40.8193623,-73.8893249,Bronx,clinic,Bella Vista Health Center,POINT (-73.88932490000001 40.8193623),43,10474,0,Bronx,12281.0,40614090.1902275,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
7,node,357644097,40.8333008,-73.8906211,Bronx,clinic,Plaza del Castillo Health Center,POINT (-73.8906211 40.8333008),31,10460,0,Bronx,56670.0,35155666.6460149,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
8,node,357644099,40.8253239,-73.9170033,Bronx,clinic,Montefiore Comprehensive Health Care Center,POINT (-73.9170033 40.8253239),39,10451,0,Bronx,44140.0,28944106.5168784,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
9,node,357644106,40.8445094,-73.9059884,Bronx,clinic,Claremont Family Health Center,POINT (-73.9059884 40.8445094),30,10457,0,Bronx,70253.0,37640607.3793199,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
10,node,357644109,40.8463333,-73.9044069,Bronx,clinic,Clay Avenue Family Health Care Center,POINT (-73.9044069 40.8463333),30,10457,0,Bronx,70253.0,37640607.3793199,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
61,node,5423785562,40.8468946,-73.8963355,Bronx,clinic,Tremont Health Center,POINT (-73.89633550000001 40.8468946),30,10457,0,Bronx,70253.0,37640607.3793199,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
132,way,276042272,40.8440776,-73.894154,Bronx,clinic,"NYC Health + Hospitals, Gotham Health Tremont",POINT (-73.894154 40.8440776),30,10457,0,Bronx,70253.0,37640607.3793199,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
11,node,357648628,40.8202928,-73.8582657,Bronx,clinic,Stevenson Family Health Center,POINT (-73.8582657 40.8202928),40,10473,0,Bronx,58284.0,59522354.5402765,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
12,node,357648641,40.8196512,-73.8477966,Bronx,clinic,Mannam Medical Center,POINT (-73.8477966 40.8196512),40,10473,0,Bronx,58284.0,59522354.5402765,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
13,node,357648649,40.831306,-73.9028319,Bronx,clinic,"Doctor Martin Luther King, Junior Health Center",POINT (-73.9028319 40.831306),34,10456,0,Bronx,89390.0,29933452.4363485,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
17,node,1834885369,40.7995484,-73.9679788,New York,clinic,CityMD Urgent Care,POINT (-73.9679788 40.7995484),51,10025,0,New York,96054.0,19631043.8225259,NY,New York,36,061,http://www.usps.com/,0.0,0.0
73,node,5640635969,40.7989378,-73.9690071,,clinic,Cure Urgent Care,POINT (-73.9690071 40.7989378),51,10025,0,New York,96054.0,19631043.8225259,NY,New York,36,061,http://www.usps.com/,0.0,0.0
