index_left,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry
0,node,663072765,40.7573031,-73.9778626,New York,clothes,Ted Baker,POINT (-73.97786259999999 40.7573031)
1,node,663084339,40.7535383,-73.9805923,,clothes,H&M,POINT (-73.9805923 40.7535383)
2,node,663084489,40.7537116,-73.9809753,,clothes,Zara,POINT (-73.9809753 40.7537116)
3,node,663084655,40.752592,-73.981337,,clothes,Sean John,POINT (-73.981337 40.752592)
4,node,663099014,40.7494827,-73.9876565,,clothes,Gap,POINT (-73.9876565 40.7494827)
5,node,663099091,40.7498689,-73.9873935,,clothes,Victoria's Secret,POINT (-73.9873935 40.7498689)
6,node,663100566,40.7506751,-73.9904577,,clothes,H&M,POINT (-73.99045769999999 40.7506751)
7,node,663387602,40.7529683,-73.9926431,,clothes,Mr Joe,POINT (-73.9926431 40.7529683)
8,node,886397016,40.7286931,-73.9936998,,clothes,American Apparel,POINT (-73.9936998 40.7286931)
9,node,886403236,40.7285264,-73.9938554,,clothes,Le Chateau,POINT (-73.9938554 40.7285264)
10,node,886530236,40.728438,-73.9939449,,clothes,French Connection,POINT (-73.9939449 40.728438)
11,node,886706963,40.7271383,-73.9956087,,clothes,Blades,POINT (-73.99560870000001 40.7271383)
12,node,886727545,40.7270937,-73.9956618,,clothes,Roni,POINT (-73.99566179999999 40.7270937)
13,node,999526099,40.7688194,-73.982397,,clothes,Pink,POINT (-73.98239700000001 40.7688194)
14,node,999526135,40.7743637,-73.9818822,New York,clothes,Banana Republic,POINT (-73.9818822 40.7743637)
15,node,1001284305,40.7223219,-73.9996236,,clothes,Zara,POINT (-73.99962360000001 40.7223219)
16,node,1095171630,40.676586,-73.980541,,clothes,Brooklyn Industries,POINT (-73.980541 40.676586)
17,node,1095174326,40.6768935,-73.9799625,Brooklyn,clothes,Something Else On Fifth,POINT (-73.9799625 40.6768935)
18,node,1221726034,40.7624997,-73.9745885,,clothes,Abercrombie & Fitch,POINT (-73.9745885 40.7624997)
19,node,1241281004,40.7235022,-73.998176,New York City,clothes,Uniqlo,POINT (-73.998176 40.7235022)
20,node,1297481119,40.7410284,-73.9936701,,clothes,Limelight Marketplace,POINT (-73.9936701 40.7410284)
21,node,1297627766,40.7236731,-73.9946151,,clothes,Second Time Around,POINT (-73.9946151 40.7236731)
22,node,1297629339,40.7276373,-73.9935441,,clothes,Screaming Mimi's,POINT (-73.99354409999999 40.7276373)
23,node,1297646235,40.7264713,-73.9958858,,clothes,Nom de Guerre,POINT (-73.9958858 40.7264713)
24,node,1297659439,40.7424388,-74.00084,New York,clothes,Brooklyn Industries,POINT (-74.00084 40.7424388)
25,node,1297660939,40.7413644,-73.9989975,,clothes,Barney's Co-op,POINT (-73.9989975 40.7413644)
26,node,1297673491,40.7199877,-73.9568654,,clothes,Peachfrog,POINT (-73.9568654 40.7199877)
27,node,1297677920,40.7265442,-73.9958164,,clothes,Atrium,POINT (-73.9958164 40.7265442)
28,node,1374840995,40.8408201,-73.7133166,,clothes,Time and Again,POINT (-73.7133166 40.8408201)
29,node,1378899236,40.7221884,-74.0009428,New York,clothes,Suit Supply,POINT (-74.0009428 40.7221884)
30,node,1378899289,40.7215489,-73.999866,,clothes,J. Crew Mens Shop,POINT (-73.999866 40.7215489)
31,node,1378899321,40.721629,-73.9998023,,clothes,Madewell,POINT (-73.9998023 40.721629)
32,node,1378899355,40.721563,-74.0002642,,clothes,lululemon athletica,POINT (-74.0002642 40.721563)
33,node,1383919199,40.7671848,-73.9823,,clothes,TJ Maxx,POINT (-73.9823 40.7671848)
34,node,1383950274,40.7663468,-73.9824049,,clothes,Gap,POINT (-73.98240490000001 40.7663468)
35,node,1413105218,40.7537134,-73.9914496,,clothes,Selini Neckwear Inc.,POINT (-73.9914496 40.7537134)
36,node,1426255500,40.7573131,-73.9863236,,clothes,Levi's,POINT (-73.98632360000001 40.7573131)
37,node,1427521107,40.7498546,-73.9833154,,clothes,Yankees,POINT (-73.9833154 40.7498546)
38,node,1428036380,40.7542617,-73.9800487,,clothes,Urban Outfitters,POINT (-73.9800487 40.7542617)
39,node,1428036407,40.7547407,-73.9802522,,clothes,Orvis,POINT (-73.9802522 40.7547407)
40,node,1428036417,40.755043,-73.9795009,,clothes,Barami,POINT (-73.97950090000001 40.755043)
41,node,1428036430,40.7564207,-73.9784981,,clothes,Guess,POINT (-73.9784981 40.7564207)
42,node,1428036585,40.7554348,-73.977162,,clothes,Charles Tyrwhitt,POINT (-73.97716200000001 40.7554348)
43,node,1428036605,40.7555641,-73.9774674,,clothes,Men's Wear,POINT (-73.97746739999999 40.7555641)
44,node,1428036618,40.7552783,-73.977656,,clothes,,POINT (-73.977656 40.7552783)
45,node,1428036640,40.7551081,-73.9778087,New York,clothes,My.Suit,POINT (-73.9778087 40.7551081)
46,node,1428427551,40.7545229,-73.9778087,,clothes,J.Crew,POINT (-73.9778087 40.7545229)
47,node,1428427558,40.7585649,-73.9748533,,clothes,Express,POINT (-73.97485330000001 40.7585649)
48,node,1428427559,40.7589868,-73.975024,,clothes,,POINT (-73.975024 40.7589868)
49,node,1428427565,40.761305,-73.9749414,New York,clothes,Bottega Veneta,POINT (-73.97494140000001 40.761305)
50,node,1428427566,40.7611097,-73.9751048,,clothes,Zara,POINT (-73.9751048 40.7611097)
51,node,1428427567,40.7608348,-73.9752495,,clothes,Diesel,POINT (-73.9752495 40.7608348)
52,node,1428427568,40.7610186,-73.9756542,,clothes,Gap,POINT (-73.97565419999999 40.7610186)
53,node,1428427569,40.7606835,-73.9753997,New York,clothes,Tommy Hilfiger,POINT (-73.9753997 40.7606835)
54,node,1428427570,40.7605888,-73.9754724,New York,clothes,Fendi,POINT (-73.9754724 40.7605888)
55,node,1428427571,40.7602252,-73.9757516,,clothes,ST. John,POINT (-73.9757516 40.7602252)
56,node,1428427572,40.7594699,-73.9762996,New York,clothes,Versace,POINT (-73.9762996 40.7594699)
57,node,1428427573,40.75944,-73.9768001,New York,clothes,Victoria’s Secret,POINT (-73.97680010000001 40.75944)
58,node,1596628497,40.7188243,-73.9568355,,clothes,Jumelle,POINT (-73.9568355 40.7188243)
59,node,1608795907,40.725998,-73.99596,New York City,clothes,Urban Outfitters,POINT (-73.99596 40.725998)
60,node,1655435369,40.7626496,-73.9728051,New York,clothes,CHANEL Boutique,POINT (-73.9728051 40.7626496)
61,node,1669534157,40.7743961,-73.9825581,New York,clothes,Zara,POINT (-73.98255810000001 40.7743961)
62,node,1697755054,40.7260644,-74.2327604,,clothes,Family Dollar,POINT (-74.2327604 40.7260644)
63,node,1865211622,40.7227019,-73.9486177,Brooklyn,clothes,Caribou Baby,POINT (-73.9486177 40.7227019)
64,node,1899033649,40.7213106,-73.9966185,,clothes,Paul Frank Store,POINT (-73.9966185 40.7213106)
65,node,1979669266,40.7245553,-73.9959859,,clothes,Benetton,POINT (-73.99598589999999 40.7245553)
66,node,1979669272,40.7139965,-73.9602935,,clothes,Bird,POINT (-73.96029350000001 40.7139965)
67,node,2041169440,40.8732378,-73.9087363,,clothes,Marshalls,POINT (-73.9087363 40.8732378)
68,node,2041169450,40.8734602,-73.9079897,,clothes,The Childrens Place,POINT (-73.9079897 40.8734602)
69,node,2045635523,40.7391221,-73.9899925,New York,clothes,Brooks Brothers,POINT (-73.9899925 40.7391221)
70,node,2091641952,40.7963714,-73.9702087,,clothes,Brooklyn Industries,POINT (-73.9702087 40.7963714)
71,node,2159762088,40.5083876,-74.2666531,,clothes,Margarita's Clothing Warehouse Outlet,POINT (-74.2666531 40.5083876)
72,node,2159762428,40.5083223,-74.2663956,,clothes,Dress Express,POINT (-74.2663956 40.5083223)
73,node,2159772849,40.5082032,-74.2673847,,clothes,Kids City,POINT (-74.26738469999999 40.5082032)
74,node,2159773832,40.508284,-74.2675182,,clothes,Pretty Girl,POINT (-74.2675182 40.508284)
75,node,2159782724,40.508496,-74.2669603,,clothes,Bargain Man,POINT (-74.26696029999999 40.508496)
76,node,2183010454,40.7059955,-74.0111464,,clothes,Indochino,POINT (-74.0111464 40.7059955)
77,node,2183010466,40.7064078,-74.010896,,clothes,Hermes Paris,POINT (-74.010896 40.7064078)
78,node,2183010477,40.7062677,-74.0114417,,clothes,My.Suit,POINT (-74.01144170000001 40.7062677)
