,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
0,node,663072765,40.7573031,-73.9778626,New York,clothes,Ted Baker,POINT (-73.97786259999999 40.7573031),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
1,node,663084339,40.7535383,-73.9805923,,clothes,H&M,POINT (-73.9805923 40.7535383),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
3,node,663084655,40.752592,-73.981337,,clothes,Sean John,POINT (-73.981337 40.752592),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
38,node,1428036380,40.7542617,-73.9800487,,clothes,Urban Outfitters,POINT (-73.9800487 40.7542617),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
40,node,1428036417,40.755043,-73.9795009,,clothes,Barami,POINT (-73.97950090000001 40.755043),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
41,node,1428036430,40.7564207,-73.9784981,,clothes,Guess,POINT (-73.9784981 40.7564207),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
42,node,1428036585,40.7554348,-73.977162,,clothes,Charles Tyrwhitt,POINT (-73.97716200000001 40.7554348),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
43,node,1428036605,40.7555641,-73.9774674,,clothes,Men's Wear,POINT (-73.97746739999999 40.7555641),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
44,node,1428036618,40.7552783,-73.977656,,clothes,,POINT (-73.977656 40.7552783),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
45,node,1428036640,40.7551081,-73.9778087,New York,clothes,My.Suit,POINT (-73.9778087 40.7551081),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
46,node,1428427551,40.7545229,-73.9778087,,clothes,J.Crew,POINT (-73.9778087 40.7545229),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
183,node,2717543451,40.7570579,-73.9780558,New York,clothes,H&M,POINT (-73.97805580000001 40.7570579),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
