,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name
0,node,357724542,40.85577,-74.0377338,,,Lakeview Field
1,node,368062431,40.8096772,-73.9617322,,,Marcellus Hartley Dodge Physical Fitness Center
2,node,368062435,40.615,-74.0958333,,,Spiro Sports Center
3,node,368062438,40.7383333,-73.8197222,,,Fitzgerald Gymnasium
4,node,368062449,40.8522154,-73.8449349,,,Falk Recreation Center
5,node,368062464,40.71,-73.9975,,,Alfred E Smith Recreation Center
6,node,368062482,40.9260803,-73.7857765,,,Hynes Athletic Center
7,node,368062504,40.6897222,-73.9466667,,,Tompkins Park Recreation Center
8,node,368062506,40.7269935,-73.9533347,,,Greenpoint Branch YMCA
9,node,368062525,40.7077778,-73.9580556,,,Eastern District YMCA
10,node,368062529,40.6561111,-73.9027778,,,Brownsville Recreation Center
11,node,368062546,40.7444444,-73.9963889,,,McBurney YMCA
12,node,368062558,40.7707317,-73.9804233,,,West Side YMCA
13,node,368062717,40.6174742,-73.7306374,,,William S Pettit Memorial Branch YMCA
14,node,1453985752,40.6401153,-74.0223438,,,Father Tom Joyce Sports Complex
15,node,1622836795,40.8795525,-74.1371574,,,Shotokan Karate Dojo
16,node,1669534151,40.7744583,-73.9811766,,,Equinox
17,node,1687531378,40.8999066,-74.0075652,,,
18,node,1697779390,40.7858048,-74.1730683,,,Baseball Field
19,node,1697781031,40.786568,-74.1723285,,,Baseball Field
20,node,1697781859,40.7858206,-74.1715132,,,Baseball Field
21,node,1697782458,40.785057,-74.1720389,,,Baseball Field
22,node,1697783249,40.7859343,-74.1721891,,,Soccer Field
23,node,1697814947,40.7617979,-74.1800902,,,Steven Adubato Sports Complex
24,node,1725365402,40.6815332,-73.9799836,,,Class One MMA
25,node,2012413416,40.7452448,-73.9326999,,,Cityview Racquet club
26,node,2014444456,40.6796547,-73.9842356,,,Brooklyn Boulders
27,node,2020487653,40.7361264,-73.9756907,,,Asser Levy
28,node,2020721439,40.7379758,-73.997829,,,YMCA McBurney
29,node,2043309113,40.7643261,-73.9154713,Queens,,NYSC
30,node,2185003524,40.5895618,-73.8987658,,,Aviator Sports
31,node,2185003542,40.601943,-73.8899994,,,RC Aircraft Flying
32,node,2187917032,40.7114592,-73.9612027,Brooklyn,,Loom Yoga
33,node,2206252112,40.7722375,-73.7684117,,,World of Discovery Day Camp
34,node,2259025498,40.7643544,-73.9115969,,,Astoria Dance Center
35,node,2321125647,40.69789,-73.9942706,Brooklyn,,Eastern Athletics
36,node,2322155477,40.6954796,-73.9962669,Brooklyn,,Heights Casino
37,node,2377128171,40.7475912,-73.9970941,New York,,Midtown Tennis Club
38,node,2552903078,40.5775708,-73.9598031,Brooklyn,,Boardwalk Billiards
39,node,2562438643,40.8098104,-73.9517284,New York,,New York Sports Clubs
40,node,2565076143,40.6892254,-73.9234589,,,Blink Fitness
41,node,2568600819,40.6986454,-73.9337526,,,Richie's Gym
42,node,2629371851,40.7589484,-73.9598017,,,Sutton East Tennis Club
43,node,2633090251,40.708853,-73.8695591,Queens,,New York Sports Club
44,node,2706036841,40.7205109,-73.8461405,,,Lucille Roberts
45,node,2706059229,40.7211119,-73.8470626,,,New York Sports Club
46,node,2706939852,40.746596,-73.9856791,New York,,Throwback Fitness
47,node,2789378964,40.9133687,-74.2439687,Wayne,,Riverview Gymnastics
48,node,2791831538,40.8787114,-74.222283,,,Curves Gym
49,node,2823604781,40.8392053,-74.1564521,,,LA Fitness
50,node,2838087252,40.7410264,-73.9035892,,,Big Six Fitness
51,node,2846621602,40.7557985,-73.9232207,,,Life Health & Fitness
52,node,2865415729,40.742787,-73.7386156,,,
53,node,2865415730,40.7433148,-73.7415003,,,
54,node,2865415743,40.7405796,-73.7354977,,,Alley Athletic Playground
55,node,2870692485,40.7034647,-73.7994571,Jamaica,,24 Hour Fitness
56,node,2881810194,40.7630778,-73.7705235,,,Lucille Roberts
57,node,3362422969,40.7232869,-73.9506593,Brooklyn,,Awakening NY
58,node,3452649638,40.5864622,-73.8798903,,,The Floyd Bennett Field Archery Range
59,node,3452885684,40.7610521,-73.9237586,Astoria,,Yoga Agora
60,node,3627346236,40.8344844,-73.9450017,,,Planet Fitness
61,node,3676832434,40.7324198,-73.9855162,New York,,Synergy Fitness Clubs
62,node,3677010927,40.7314081,-73.9832397,New York,,14th Street Y – Sports Center
63,node,3777280242,40.7366243,-74.2503299,,,Colosseum Gym
64,node,3785188588,40.7673429,-73.9880059,New York City,,Planet Fitness
65,node,3827462186,40.9157982,-74.1700359,,,Planet Fitness
66,node,3865095757,40.74224,-73.933849,,,Extreme Sports
67,node,3874819157,40.7573351,-73.9670312,,,Equinox
68,node,3958246946,40.7443775,-73.9901207,New York,,PopPhysique
69,node,4067829660,40.7273039,-73.8534543,,,New York Sports Club - Rego Park
70,node,4113144392,40.7272833,-73.9917095,,,Crunch
71,node,4194007173,40.6823351,-73.9960907,Brooklyn,,Body Elite
72,node,4317415001,40.710436,-73.9666811,Brooklyn,,Crossfit Outbreak
73,node,4317415002,40.711316,-73.9659017,Brooklyn,,Soma Williamsburg
74,node,4408737750,40.7073709,-74.0108202,New York,,Equinox Wall Street
75,node,4429416441,40.7433807,-73.9915176,New York,,Studio Anya
76,node,4446116266,40.7525859,-73.9401946,Long Island City,,Brooklyn Boulders Queensbridge
77,node,4446150427,40.7409495,-73.9936764,New York,,The Monster Cycle
78,node,4466933324,40.7417781,-73.9907438,New York,,Uplift Studio
79,node,4466935954,40.7345704,-73.9986472,New York,,Jofferey ballet school
80,node,4475184475,40.7433061,-73.9942688,New York,,Peleton
81,node,4477606145,40.7508501,-74.0060476,New York,,Body by Simone
82,node,4546354204,40.74453,-73.9893113,New York,dojo,Evolution Muay Thai
83,node,4685779446,40.7284133,-74.0130056,,,P3 Batting Cage
84,node,4924481992,40.7295632,-73.9499923,Brooklyn,,WillyB Crossfit - Greenpoint
85,node,5178740949,40.7640882,-73.8262727,Flushing,,Flushing YMCA
86,node,5364866511,40.7041865,-73.8941023,Ridgewood,,Ridgewood YMCA
87,node,5500251001,40.9276252,-74.2722697,Wayne,,Pro E.D.G.E.
88,node,5607297102,40.7867888,-73.950455,,,Steep Rock Bouldering
89,node,5745779290,40.68249,-73.9860889,,,Gotham Archery
90,node,5838921169,40.755031,-74.03013,,,Gravity Vault
91,node,5895190223,40.9164114,-74.0540109,,,iFly
92,node,5910361056,40.7221792,-73.9553928,Brooklyn,,Northside Lifting Club
93,node,5910442380,40.7187712,-73.9481292,,,Brooklyn Barbell Club
94,node,5910442389,40.7457368,-73.9900731,,,Manhattan Barbell
95,node,5910442402,40.7116737,-73.9458762,,,WillyB Barbell Club
96,node,5910474533,40.6653423,-74.1173331,,,Bayonne Weightlifting Club
97,node,5910474549,40.724843,-74.0021971,,,Riverside Weightlifting
98,node,5910583822,40.67765,-73.9567766,,,Murder of Crows Weightlifting Club
99,node,5910583823,40.7539234,-73.9930307,,,New York City Barbell
100,node,5910620573,40.7175381,-73.9925679,,,JDI Barbell Club
101,node,5910751755,40.7355377,-73.9918887,,,Union Square Barbell Club
102,node,5910885658,40.7318714,-73.8654874,,,LBH of NYC Dept of Parks Weightlifting
103,node,5960285609,40.9279321,-74.0619118,,,Tennis Courts
104,node,5960285610,40.9281838,-74.0570194,,,Tennis Courts
105,way,22935714,40.7467386,-74.0099155,,,Chelsea Piers
106,way,26615871,40.7899194,-73.9620589,,,Central Park Tennis Center
107,way,26974142,40.7443726,-74.0257577,,,Schaefer Athletic Center
108,way,34901727,40.5924066,-74.1524282,,,Island Swim Club
109,way,34966692,40.6095465,-74.1197781,,,"SI go-karts, mini-golf, roller hockey, batting cages"
110,way,35018713,40.6371808,-74.0742939,,,Lyons Pool & Fitness Center
111,way,35086122,40.5597255,-74.1474227,,,Great Kills Little League Inc.
112,way,35086128,40.5596244,-74.1465257,,,Great Kills Swim Club
113,way,35821430,40.6039045,-74.150131,,,
114,way,40535388,40.5534064,-74.1986847,,,
115,way,44947880,40.8126373,-73.8455042,,,YMCA
