,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
1,node,368062431,40.8096772,-73.9617322,,,Marcellus Hartley Dodge Physical Fitness Center,POINT (-73.9617322 40.8096772),42,10027,0,New York,58639.0,24695278.5042902,NY,New York,36,061,http://www.usps.com/,0.0,0.0
39,node,2562438643,40.8098104,-73.9517284,New York,,New York Sports Clubs,POINT (-73.95172839999999 40.8098104),42,10027,0,New York,58639.0,24695278.5042902,NY,New York,36,061,http://www.usps.com/,0.0,0.0
150,way,271628046,40.8052332,-73.9432924,,,Marcus Garvey Park Pool,POINT (-73.9432924 40.8052332),42,10027,0,New York,58639.0,24695278.5042902,NY,New York,36,061,http://www.usps.com/,0.0,0.0
151,way,271628051,40.8049939,-73.944867,,,Pelham Fritz Recreation Center,POINT (-73.944867 40.8049939),42,10027,0,New York,58639.0,24695278.5042902,NY,New York,36,061,http://www.usps.com/,0.0,0.0
2,node,368062435,40.615,-74.0958333,,,Spiro Sports Center,POINT (-74.0958333 40.615),130,10301,0,Staten Island,40438.0,105182712.649568,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
109,way,35018713,40.6371808,-74.0742939,,,Lyons Pool & Fitness Center,POINT (-74.0742939 40.6371808),130,10301,0,Staten Island,40438.0,105182712.649568,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
3,node,368062438,40.7383333,-73.8197222,,,Fitzgerald Gymnasium,POINT (-73.8197222 40.7383333),88,11367,0,Flushing,41773.0,72810151.5885401,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
4,node,368062449,40.8522154,-73.8449349,,,Falk Recreation Center,POINT (-73.8449349 40.8522154),29,10461,0,Bronx,50549.0,62824057.5745278,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
5,node,368062464,40.71,-73.9975,,,Alfred E Smith Recreation Center,POINT (-73.9975 40.71),100,10038,0,New York,19127.0,7022760.64302604,NY,New York,36,061,http://www.usps.com/,0.0,0.0
7,node,368062504,40.6897222,-73.9466667,,,Tompkins Park Recreation Center,POINT (-73.94666669999999 40.6897222),183,11216,0,Brooklyn,53862.0,26478229.2634433,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
137,way,250003197,40.6853432,-73.9536748,,,Bedford Branch YMCA,POINT (-73.9536748 40.6853432),183,11216,0,Brooklyn,53862.0,26478229.2634433,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
8,node,368062506,40.7269935,-73.9533347,,,Greenpoint Branch YMCA,POINT (-73.9533347 40.7269935),91,11222,0,Brooklyn,36315.0,42825293.236702,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
57,node,3362422969,40.7232869,-73.9506593,Brooklyn,,Awakening NY,POINT (-73.9506593 40.7232869),91,11222,0,Brooklyn,36315.0,42825293.236702,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
84,node,4924481992,40.7295632,-73.9499923,Brooklyn,,WillyB Crossfit - Greenpoint,POINT (-73.94999230000001 40.7295632),91,11222,0,Brooklyn,36315.0,42825293.236702,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
92,node,5910442380,40.7187712,-73.9481292,,,Brooklyn Barbell Club,POINT (-73.9481292 40.7187712),91,11222,0,Brooklyn,36315.0,42825293.236702,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
9,node,368062525,40.7077778,-73.9580556,,,Eastern District YMCA,POINT (-73.95805559999999 40.7077778),200,11211,0,Brooklyn,60861.0,40470881.6712834,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
32,node,2187917032,40.7114592,-73.9612027,Brooklyn,,Loom Yoga,POINT (-73.9612027 40.7114592),200,11211,0,Brooklyn,60861.0,40470881.6712834,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
94,node,5910442402,40.7116737,-73.9458762,,,WillyB Barbell Club,POINT (-73.9458762 40.7116737),200,11211,0,Brooklyn,60861.0,40470881.6712834,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
10,node,368062529,40.6561111,-73.9027778,,,Brownsville Recreation Center,POINT (-73.9027778 40.6561111),2,11212,0,Brooklyn,83866.0,41972104.0714198,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
11,node,368062546,40.7444444,-73.9963889,,,McBurney YMCA,POINT (-73.9963889 40.7444444),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
28,node,2020721439,40.7379758,-73.997829,,,YMCA McBurney,POINT (-73.997829 40.7379758),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
79,node,4466935954,40.7345704,-73.9986472,New York,,Jofferey ballet school,POINT (-73.99864719999999 40.7345704),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
