,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name
0,node,305499273,40.7433025,-74.0286898,Hoboken,restaurant,Court Street
1,node,349323821,40.7625361,-73.9766972,New York,restaurant,Five Guys
2,node,357618253,40.7408217,-73.784295,Fresh Meadows,restaurant,Hooters
3,node,380044344,40.7025316,-73.9865653,Brooklyn,restaurant,Pedro's
4,node,411504676,40.5134027,-74.2513558,Staten Island,restaurant,Angelina's
5,node,447943157,40.7297546,-73.9997579,New York,restaurant,La Newyorkina
6,node,460482199,40.701767,-73.8811264,Glendale,restaurant,Zum Stammtisch
7,node,482318526,40.6250134,-74.1153556,,restaurant,
8,node,502789467,40.7426161,-73.8248756,,restaurant,Palace Diner
9,node,502789797,40.7430063,-73.825794,,restaurant,Happy Garden Restaurant
10,node,540396305,40.6588549,-74.2824272,,restaurant,Sun Tavern
11,node,560635812,40.701443,-74.0148668,,restaurant,Battery Gardens
12,node,561042187,40.7435917,-73.9836213,,restaurant,Les Halles
13,node,566313758,40.8727992,-73.918421,New York,restaurant,Indian Road Cafe
14,node,566316071,40.8681188,-73.9204207,,restaurant,Garden Café
15,node,570912397,40.8057929,-73.9658536,New York,restaurant,Le Monde
16,node,577388004,40.8058137,-73.9651685,New York,restaurant,Junzi Kitchen
17,node,617378682,40.7147991,-73.9446039,,restaurant,Mother's
18,node,617740844,40.7150026,-73.9442815,,restaurant,Carmine's Pizzeria
19,node,617740846,40.7148765,-73.9446087,,restaurant,El Loco Burrito
20,node,617740847,40.714966,-73.9446248,,restaurant,Tony's Pizza
21,node,617741149,40.7144293,-73.9437987,,restaurant,Bagel Store
22,node,617741150,40.714413,-73.9439274,,restaurant,East Met West
23,node,617741151,40.7142707,-73.9445014,,restaurant,Pagoda
24,node,617741196,40.7143927,-73.9420177,,restaurant,Il Passatore
25,node,626013381,40.8073542,-73.9647166,,restaurant,Sweetgreen
26,node,629872702,40.693114,-73.942496,Brooklyn,restaurant,Sarah James
27,node,631381632,40.65497,-74.2774746,,restaurant,Dave's Big Size Pizza
28,node,631381674,40.6549049,-74.2775122,,restaurant,Lin's Garden
29,node,643414350,40.7569097,-73.9865975,New York,restaurant,Hard Rock Cafe
30,node,661889865,40.7554192,-73.9930152,New York,restaurant,Carbone
31,node,662433328,40.7219889,-73.9924459,New York,restaurant,Freemans
32,node,662435489,40.715682,-73.964684,Brooklyn,restaurant,Aurora
33,node,663104998,40.7524435,-73.9935503,,restaurant,Tick Tock Diner
34,node,663260794,40.750052,-73.994588,,restaurant,Jimmys Burger Shack
35,node,663260806,40.750096,-73.994726,New York,restaurant,Brother Jimmy's BBQ
36,node,663354158,40.779131,-73.960536,New York,restaurant,Giovanni
37,node,693891973,40.6759642,-74.0142773,Brooklyn,restaurant,The Good Fork
38,node,702331964,40.6453855,-74.1077517,,restaurant,RH Tuggs
39,node,720075075,40.672184,-73.957548,Brooklyn,restaurant,Dutch Boy Burger
40,node,732372474,40.7026239,-73.9813033,Brooklyn,restaurant,Vinegar Hill House
41,node,763652153,40.7411254,-73.9901125,,restaurant,Eisenberg's Sandwich Shop
42,node,764740281,40.6902136,-73.9818937,Brooklyn,restaurant,Junior's
43,node,765081348,40.7224297,-73.9876487,,restaurant,pastrami!
44,node,765782913,40.7106872,-73.9656773,,restaurant,Marlow & Sons
45,node,765800358,40.7106766,-73.9655977,Brooklyn,restaurant,Diner
46,node,813645468,40.690716,-73.969569,,restaurant,Graziella's
47,node,818239355,40.6904836,-73.9600459,,restaurant,Dannee Thai
48,node,835414667,40.8051934,-73.9623964,,restaurant,Artopolis
49,node,857949863,40.8359616,-74.227379,,restaurant,Pilgrim Diner
50,node,857949878,40.852324,-74.2290639,,restaurant,Giuseppe's
51,node,870315949,40.7590731,-73.9522681,,restaurant,Fuji East Restaurant
52,node,870316544,40.7592113,-73.9525792,,restaurant,Nonno's Foccaceria
53,node,874822078,40.662365,-74.249618,,restaurant,No1 CHINESE EXPRESS
54,node,874836117,40.6608614,-74.2603683,,restaurant,WHITE ROSE SYSTEM
55,node,883337398,40.8043628,-73.9476425,,restaurant,Ristorante Settepani
56,node,883711917,40.7265887,-73.9888284,,restaurant,Mary Ann's
57,node,888955052,40.716964,-73.959114,,restaurant,Juliette Restaurant
58,node,888963055,40.717029,-73.95921,,restaurant,Taj Mahal
59,node,888963802,40.716692,-73.9617526,Brooklyn,restaurant,Egg
60,node,888968071,40.7169659,-73.9583521,,restaurant,Ako
61,node,888973526,40.717121,-73.958708,,restaurant,Red Bowl
62,node,888976948,40.717174,-73.958637,,restaurant,Tai Thai
63,node,889022239,40.7175325,-73.9574611,,restaurant,Station
64,node,889477001,40.715967,-74.0099636,,restaurant,Cafe Amore's Restaurant
65,node,896465603,40.7326428,-74.002464,,restaurant,Rockmeisha Izakaya
66,node,896469827,40.7326055,-74.0025709,,restaurant,Annisa
67,node,931799204,40.7316098,-74.0033416,New York,restaurant,John's of Bleecker St
68,node,931799207,40.7305467,-74.0020629,New York,restaurant,Joe's Pizza
69,node,981399335,40.7051487,-73.9333751,,restaurant,Momo Sushi
70,node,983308215,40.7104365,-74.0997577,,restaurant,La Mexicana
71,node,999961211,40.7322601,-74.0033462,,restaurant,Hummus Place
72,node,1002880708,40.7215577,-73.9956097,New York,restaurant,Lombardi's Pizza
73,node,1013624842,40.716904,-73.999527,,restaurant,China Village Restaurant
74,node,1030333137,40.7422133,-74.0301318,,restaurant,Cafe Michelena
75,node,1030346276,40.7435408,-74.0288261,,restaurant,H and S Giovannis
76,node,1109836197,40.7268987,-73.9853013,New York,restaurant,Luke's Lobster
77,node,1109850191,40.7268844,-73.9852684,New York,restaurant,Caracas Arepa Bar
78,node,1112477518,40.726549,-73.989278,,restaurant,Heart Of India
79,node,1119244578,40.8054303,-73.9654035,New York,restaurant,Tom's Restaurant
80,node,1153146341,40.7029557,-74.0132642,,restaurant,Au Bon Pain
81,node,1177268453,40.6797675,-73.9651769,,restaurant,Dean Street
