,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
1,node,349323821,40.7625361,-73.9766972,New York,restaurant,Five Guys,POINT (-73.9766972 40.7625361),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
104,node,1383909693,40.7663525,-73.9796288,,restaurant,Le Pain Quotidien,POINT (-73.9796288 40.7663525),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
106,node,1383927735,40.7675881,-73.9831167,,restaurant,Blue Ribbon,POINT (-73.9831167 40.7675881),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
107,node,1383928351,40.7677295,-73.9834926,,restaurant,Sushi Damo,POINT (-73.98349260000001 40.7677295),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
108,node,1383955419,40.7653848,-73.980359,New York,restaurant,Lili's 57,POINT (-73.98035900000001 40.7653848),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
109,node,1383956543,40.7656333,-73.9808702,New York,restaurant,Brooklyn Diner,POINT (-73.9808702 40.7656333),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
110,node,1383956544,40.7654347,-73.9813709,,restaurant,Hooters,POINT (-73.9813709 40.7654347),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
111,node,1383956764,40.7660154,-73.9794173,New York,restaurant,Petrossian,POINT (-73.97941729999999 40.7660154),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
134,node,1487472478,40.7607113,-73.9807687,New York,restaurant,Capital Grille at Time-Life,POINT (-73.9807687 40.7607113),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
135,node,1487569052,40.7640653,-73.9782577,,restaurant,Le Parker Meridien Burger,POINT (-73.9782577 40.7640653),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
139,node,1497326724,40.7650339,-73.9793005,New York,restaurant,Russian Tea Room,POINT (-73.97930049999999 40.7650339),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
198,node,1758217485,40.7604723,-73.9840506,New York,restaurant,The Playwright,POINT (-73.9840506 40.7604723),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
255,node,1977354182,40.7627443,-73.9878936,,restaurant,Bann Restaurant,POINT (-73.98789360000001 40.7627443),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
301,node,2070158858,40.7674922,-73.9862892,,restaurant,Bello,POINT (-73.9862892 40.7674922),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
325,node,2134025590,40.7593243,-73.9816604,,restaurant,Del Frisco's,POINT (-73.9816604 40.7593243),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
475,node,2379302186,40.7707337,-73.9918169,New York,restaurant,Hudson Eatery,POINT (-73.9918169 40.7707337),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
822,node,2610440246,40.7604501,-73.9839884,,restaurant,Roast Chicken,POINT (-73.9839884 40.7604501),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
824,node,2610440252,40.7611131,-73.9829819,New York,restaurant,TGI Fridays,POINT (-73.9829819 40.7611131),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
857,node,2625469225,40.7616312,-73.9868397,,restaurant,West End Bar & Grill,POINT (-73.9868397 40.7616312),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
858,node,2629277996,40.7640716,-73.97711,New York,restaurant,Rue 57,POINT (-73.97711 40.7640716),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
882,node,2678783476,40.7614452,-73.9837559,New York,restaurant,Applebee's Neighborhood Grill & Bar,POINT (-73.98375590000001 40.7614452),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
883,node,2678783479,40.7618484,-73.9835031,New York,restaurant,Ellen's Stardust Dinner,POINT (-73.98350309999999 40.7618484),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
895,node,2698702585,40.7685603,-73.9855015,New York City,restaurant,Flame,POINT (-73.9855015 40.7685603),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
