index_left,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry
0,node,663099302,40.7500459,-73.9888897,,shoes,Foot Locker Vans,POINT (-73.9888897 40.7500459)
1,node,663387587,40.7525674,-73.9929361,,shoes,Hippo Shoes NYC,POINT (-73.99293609999999 40.7525674)
2,node,886530248,40.7283854,-73.9939823,,shoes,Aldo,POINT (-73.9939823 40.7283854)
3,node,886674467,40.7282196,-73.9946324,,shoes,Infinity Shoes,POINT (-73.9946324 40.7282196)
4,node,886674498,40.7281261,-73.9947022,,shoes,Miz Mooz,POINT (-73.99470220000001 40.7281261)
5,node,1297470390,40.7348549,-73.9915078,,shoes,DSW,POINT (-73.99150779999999 40.7348549)
6,node,1297657184,40.7225835,-73.9975119,,shoes,Premium Laces,POINT (-73.99751190000001 40.7225835)
7,node,1428036360,40.7537744,-73.9804857,,shoes,Bakers,POINT (-73.9804857 40.7537744)
8,node,1428036643,40.7547985,-73.9776337,,shoes,Clarks,POINT (-73.9776337 40.7547985)
9,node,1428427550,40.7541386,-73.9781214,,shoes,Nine West,POINT (-73.97812140000001 40.7541386)
10,node,1853451180,40.7394325,-74.0030301,New York,shoes,Shoegasm,POINT (-74.0030301 40.7394325)
11,node,1861652105,40.7225395,-73.9958872,,shoes,Chrome,POINT (-73.9958872 40.7225395)
12,node,2178743031,40.7564172,-73.9873255,,shoes,Skechers,POINT (-73.9873255 40.7564172)
13,node,2357937179,40.763629,-73.9711453,New York,shoes,Camper,POINT (-73.9711453 40.763629)
14,node,2439964745,40.7838555,-73.9742517,,shoes,Naturino,POINT (-73.9742517 40.7838555)
15,node,2451205651,40.7872733,-73.9777974,New York,shoes,Aldo,POINT (-73.9777974 40.7872733)
16,node,2478897584,40.7394803,-73.9950625,,shoes,Payless,POINT (-73.9950625 40.7394803)
17,node,2494254714,40.6920418,-73.9884651,,shoes,Sarit Shoes,POINT (-73.9884651 40.6920418)
18,node,2547200381,40.7353624,-73.9924866,,shoes,Footaction,POINT (-73.99248660000001 40.7353624)
19,node,2547218206,40.7303654,-73.9806635,New York,shoes,Pro Land,POINT (-73.98066350000001 40.7303654)
20,node,2550112954,40.7746227,-73.9810622,New York,shoes,UGG Australia,POINT (-73.9810622 40.7746227)
21,node,2555120320,40.7198076,-74.0021901,,shoes,STADIUM GOODS,POINT (-74.00219010000001 40.7198076)
22,node,2569050428,40.7370058,-73.9963766,,shoes,Foot Locker,POINT (-73.9963766 40.7370058)
23,node,2603955360,40.8277566,-73.946018,,shoes,Shoeganza,POINT (-73.946018 40.8277566)
24,node,2605312644,40.6918674,-73.9880043,,shoes,Zumiez,POINT (-73.9880043 40.6918674)
25,node,2636098697,40.7459205,-74.0496109,,shoes,Payless Shoe Source,POINT (-74.0496109 40.7459205)
26,node,2707989156,40.8050158,-73.9657743,New York,shoes,Paul's Shoe Repair,POINT (-73.96577430000001 40.8050158)
27,node,2709306607,40.74908,-73.9864875,New York City,shoes,Timberland,POINT (-73.9864875 40.74908)
28,node,2709430172,40.7514289,-73.9911902,New York,shoes,DSW Designer Shoe Warehouse,POINT (-73.99119020000001 40.7514289)
29,node,2709430181,40.7517799,-73.9920745,,shoes,Footaction,POINT (-73.9920745 40.7517799)
30,node,2711422082,40.7488354,-73.9890016,,shoes,Call it Spring,POINT (-73.98900159999999 40.7488354)
31,node,2711422114,40.7492185,-73.9898621,,shoes,Square One,POINT (-73.9898621 40.7492185)
32,node,2761809239,40.790665,-73.9448821,,shoes,Payless Shoe Source,POINT (-73.9448821 40.790665)
33,node,2824828289,40.7058282,-74.010131,New York,shoes,Minas Shoe Repair,POINT (-74.010131 40.7058282)
34,node,2830358041,40.9163163,-74.0761627,,shoes,Payless Shoe Source,POINT (-74.0761627 40.9163163)
35,node,2830358056,40.9170018,-74.076741,,shoes,Foot Locker,POINT (-74.076741 40.9170018)
36,node,2830358057,40.9166916,-74.0768271,,shoes,Sketchers,POINT (-74.0768271 40.9166916)
37,node,2830434613,40.9164615,-74.0713478,,shoes,DSW Shoes,POINT (-74.0713478 40.9164615)
38,node,2830643364,40.9155575,-74.0599536,,shoes,Nike Factory Store,POINT (-74.0599536 40.9155575)
39,node,2830643366,40.9161822,-74.0600102,,shoes,Payless Shoe Source,POINT (-74.06001019999999 40.9161822)
40,node,2870656996,40.7063269,-73.793017,Jamaica,shoes,4Ever Shoes,POINT (-73.79301700000001 40.7063269)
41,node,2883793080,40.804378,-73.9369813,,shoes,Payless Shoe Source,POINT (-73.9369813 40.804378)
42,node,2887513013,40.5872281,-73.811107,,shoes,GB's Sneaker Boutique,POINT (-73.81110700000001 40.5872281)
43,node,3096507115,40.6945104,-74.2578993,,shoes,Payless Shoe Source,POINT (-74.25789930000001 40.6945104)
44,node,3118018825,40.6449519,-73.902355,,shoes,Payless ShoeSource,POINT (-73.902355 40.6449519)
45,node,3271250889,40.7779693,-73.9786046,New York,shoes,Crocs,POINT (-73.9786046 40.7779693)
46,node,3315157057,40.5777334,-73.9619209,,shoes,Дом Обуви - Shoe House,POINT (-73.9619209 40.5777334)
