index_left,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry
0,way,24221553,40.8135233,-74.0743462,,,MetLife Stadium,POINT (-74.07434619999999 40.8135233)
1,way,24801630,40.829616,-73.9264973,,,Yankee Stadium,POINT (-73.92649729999999 40.829616)
2,way,27531691,40.749743,-74.034592,,,JFK Stadium,POINT (-74.034592 40.749743)
3,way,34412409,40.6454476,-74.0764242,,,Richmond County Bank Ballpark at Saint George,POINT (-74.07642420000001 40.6454476)
4,way,35821293,40.6021987,-74.1522412,,,,POINT (-74.15224120000001 40.6021987)
5,way,53812056,40.6379655,-74.1188911,,,,POINT (-74.1188911 40.6379655)
6,way,59384268,40.7932699,-73.9254517,,,Icahn Stadium,POINT (-73.9254517 40.7932699)
7,way,61130050,40.7148372,-73.7216629,Elmont,,,POINT (-73.7216629 40.7148372)
8,way,75118604,40.8881469,-73.8975955,,,Van Cortlandt Stadium,POINT (-73.89759549999999 40.8881469)
9,way,75867962,40.5239531,-74.1754957,,,,POINT (-74.1754957 40.5239531)
10,way,109864790,40.6723705,-73.8328674,Jamaica,,New York Racing Association Inc.,POINT (-73.8328674 40.6723705)
11,way,110797713,40.8606754,-74.1052288,,,Da Stadium,POINT (-74.10522880000001 40.8606754)
12,way,137352993,40.8741019,-73.8305743,,,,POINT (-73.83057429999999 40.8741019)
13,way,138141251,40.750507,-73.9935185,New York,,Madison Square Garden,POINT (-73.99351849999999 40.750507)
14,way,138176128,40.9245308,-73.8125893,,,,POINT (-73.8125893 40.9245308)
15,way,138176132,40.9301117,-73.7958795,,,,POINT (-73.7958795 40.9301117)
16,way,138264769,40.9202843,-73.8390648,,,,POINT (-73.8390648 40.9202843)
17,way,138264770,40.8997981,-73.8408575,,,,POINT (-73.8408575 40.8997981)
18,way,138265864,40.8850309,-73.8414344,,,,POINT (-73.8414344 40.8850309)
19,way,140303761,40.9232175,-73.873394,,,,POINT (-73.873394 40.9232175)
20,way,147969894,40.5709033,-74.1062706,,,,POINT (-74.1062706 40.5709033)
21,way,147976361,40.5666074,-74.1261169,,,,POINT (-74.1261169 40.5666074)
22,way,230622134,40.768855,-74.2819547,,,Richard J. Cody Arena,POINT (-74.2819547 40.768855)
23,way,232846650,40.8586994,-74.2016972,,,,POINT (-74.2016972 40.8586994)
24,way,232846674,40.858513,-74.2007158,,,,POINT (-74.2007158 40.858513)
25,way,232853396,40.8607734,-74.1999437,,,,POINT (-74.19994370000001 40.8607734)
26,way,233324746,40.867418,-74.1975937,,,MSU Softball Stadium,POINT (-74.1975937 40.867418)
27,way,233324747,40.8671257,-74.1974543,,,Yogi Berra Stadium,POINT (-74.1974543 40.8671257)
28,way,240051556,40.7334896,-74.1711457,Newark,,Prudential Center,POINT (-74.1711457 40.7334896)
29,way,248348270,40.8201289,-74.0717039,,,Meadowlands Racing & Entertainment Center,POINT (-74.0717039 40.8201289)
30,way,249775491,40.6214939,-73.9597667,,,,POINT (-73.9597667 40.6214939)
31,way,250538373,40.7196506,-73.849868,,,Forest Hills Stadium,POINT (-73.849868 40.7196506)
32,way,253135267,40.8424452,-74.1199322,,,Tryon Field,POINT (-74.11993219999999 40.8424452)
33,way,255340200,40.7484317,-73.8463844,,,,POINT (-73.84638440000001 40.7484317)
