SITE ID,STATUS,PPT_ID,ADDRESS,CITY,STATE,ZIP,BORO,LATITUDE,LONGITUDE,CROSS_STREET_1,CROSS_STREET_2,CORNER,INSTALL_DATE,ACTIVE_DATE,WIFI_STATUS,TABLET_STATUS,PHONE_STATUS,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,NTA,NTA_NAME
bk-06-145876,Link Active!,145876,244 SMITH STREET,New York,NY,11231,Brooklyn,40.68343607,-73.99277254,DOUGLASS STREET,DEGRAW STREET,SW,07/20/2017 12:00:00 AM,10/23/2017 12:00:00 AM,up,up,up,6,33,75,BK33,Carroll Gardens-Columbia Street-Red Hook
bk-06-145891,Link Active!,145891,50 5 AVENUE,New York,NY,11217,Brooklyn,40.681596,-73.977038,BERGEN STREET,DEAN STREET,SW,07/20/2017 12:00:00 AM,08/15/2017 12:00:00 AM,up,up,up,6,39,12901,BK37,Park Slope-Gowanus
bk-06-145893,Link Active!,145893,372 3 AVENUE,New York,NY,11215,Brooklyn,40.6726791,-73.98316142,3 STREET,6 STREET,SE,07/27/2017 12:00:00 AM,09/11/2017 12:00:00 AM,up,down,up,6,39,119,BK37,Park Slope-Gowanus
bk-09-145751,Link Active!,145751,897 FRANKLIN AVENUE,New York,NY,11225,Brooklyn,40.668156,-73.958801,PRESIDENT STREET,CARROLL STREET,NE,02/27/2017 12:00:00 AM,04/20/2017 12:00:00 AM,up,up,up,9,35,325,BK63,Crown Heights South
bk-17-126297,Link Active!,126297,3301 CHURCH AVENUE,New York,NY,11203,Brooklyn,40.65102676,-73.94651287,NEW YORK AVENUE,EAST 34 STREET,NE,06/27/2017 12:00:00 AM,10/30/2017 12:00:00 AM,up,up,up,17,40,818,BK95,Erasmus
bx-01-138788,Link Active!,138788,426 WILLIS AVENUE,New York,NY,10454,Bronx,40.813367,-73.91962478,EAST 145 STREET,EAST 144 STREET,SE,12/12/2017 12:00:00 AM,04/13/2018 12:00:00 AM,up,up,up,1,8,43,BX39,Mott Haven-Port Morris
bx-01-144251,Link Active!,144251,3097 3 AVENUE,New York,NY,10451,Bronx,40.821437,-73.912327,EAST 158 STREET,EAST 157 STREET,SW,03/18/2017 12:00:00 AM,05/22/2017 12:00:00 AM,up,up,up,1,17,69,BX34,Melrose South-Mott Haven North
bx-01-146060,Link Active!,146060,530 EAST 138 STREET,New York,NY,10454,Bronx,40.80710778,-73.91834301,BROOK AVENUE,ST. ANN'S AVENUE,Midblock,02/12/2018 12:00:00 AM,07/11/2018 12:00:00 AM,up,up,up,1,8,25,BX39,Mott Haven-Port Morris
bx-01-146063,Link Active!,146063,776 MELROSE AVENUE,New York,NY,10451,Bronx,40.822111981873675,-73.91484907735503,EAST 158 STREET,EAST 157 STREET,SE,02/25/2018 12:00:00 AM,04/25/2018 12:00:00 AM,up,up,up,1,17,69,BX34,Melrose South-Mott Haven North
bk-01-gf33353,Link Installed; Connecting Power and Fiber,GF33353,394 KENT AVENUE,New York,NY,11249,Brooklyn,40.71098811,-73.96853381,BROADWAY,SOUTH 6 STREET,NW,06/05/2018 12:00:00 AM,,Not Available,Not Available,Not Available,1,33,549,BK73,North Side-South Side
bx-01-146065,Link Active!,146065,844 ST. ANN'S AVENUE,New York,NY,10456,Bronx,40.82233792,-73.90942748,EAST 161 STREET,EAST 159 STREET,SE,03/04/2018 12:00:00 AM,04/19/2018 12:00:00 AM,up,up,up,1,17,71,BX34,Melrose South-Mott Haven North
bx-01-146066,Link Active!,146066,610 MELROSE AVENUE,New York,NY,10455,Bronx,40.81737982743871,-73.91707813210752,EAST 151 STREET,EAST 150 STREET,SE,03/04/2018 12:00:00 AM,04/30/2018 12:00:00 AM,up,up,up,1,17,65,BX34,Melrose South-Mott Haven North
bx-01-146074,Link Active!,146074,680 MELROSE AVENUE,New York,NY,10455,Bronx,40.81939415,-73.91616313,EAST 154 STREET,EAST 153 STREET,SW,03/04/2018 12:00:00 AM,05/02/2018 12:00:00 AM,up,up,up,1,17,67,BX34,Melrose South-Mott Haven North
bx-01-146075,Link Active!,146075,250 BROOK AVENUE,New York,NY,10454,Bronx,40.80775593,-73.91900611,EAST 138 STREET,EAST 139 STREET,NE,03/19/2018 12:00:00 AM,05/21/2018 12:00:00 AM,up,up,up,1,8,39,BX39,Mott Haven-Port Morris
bx-03-118929,Link Active!,118929,860 MELROSE AVENUE,New York,NY,10451,Bronx,40.82364629,-73.91402994,EAST 160 STREET,EAST 161 STREET,NE,06/05/2018 12:00:00 AM,07/11/2018 12:00:00 AM,up,up,up,3,17,141,BX35,Morrisania-Melrose
bx-03-146043,Link Active!,146043,871 BROOK AVENUE,New York,NY,10451,Bronx,40.82251879171023,-73.91069012520802,3 AVENUE,EAST 161 STREET,NW,01/14/2018 12:00:00 AM,04/24/2018 12:00:00 AM,up,up,up,3,17,141,BX35,Morrisania-Melrose
bx-04-101603,Link Active!,101603,895 WALTON AVENUE,New York,NY,10452,Bronx,40.82765532,-73.92390599,EAST 161 STREET,EAST 164 STREET,NW,02/18/2017 12:00:00 AM,05/11/2017 12:00:00 AM,up,up,up,4,8,195,BX63,West Concourse
bx-04-113552,Link Active!,113552_113553_113554,875 GERARD AVENUE,New York,NY,10452,Bronx,40.82782471,-73.9248328,EAST 161 STREET,EAST 162 STREET,NW,07/01/2016 12:00:00 AM,07/15/2016 12:00:00 AM,up,down,up,4,8,195,BX63,West Concourse
bx-04-119048,Link Active!,119048,105 EAST 165 STREET,New York,NY,10452,Bronx,40.831467,-73.921747,WALTON AVENUE,GERARD AVENUE,NW,05/12/2016 12:00:00 AM,06/15/2016 12:00:00 AM,up,up,up,4,16,195,BX63,West Concourse
bx-04-119077,Link Active!,119077,271 EAST 161 STREET,New York,NY,10451,Bronx,40.82560474,-73.91825809,MORRIS AVENUE,PARK AVENUE,NE,05/02/2018 12:00:00 AM,06/11/2018 12:00:00 AM,up,up,up,4,17,173,BX14,East Concourse-Concourse Village
bx-04-119141,Link Active!,119141,1391 JEROME AVENUE,New York,NY,10452,Bronx,40.840248,-73.918194,WEST 170 STREET,JEROME AVENUE,SW,06/10/2017 12:00:00 AM,07/13/2017 12:00:00 AM,up,up,up,4,16,219,BX26,Highbridge
bx-04-119146,Link Active!,119146,135 EAST 149 STREET,New York,NY,10451,Bronx,40.818942,-73.92837,WALTON AVENUE,GERARD AVENUE,NW,05/12/2016 12:00:00 AM,06/15/2016 12:00:00 AM,up,up,up,4,8,63,BX63,West Concourse
bx-04-119152,Link Active!,119152,1211 GRANDVIEW PLACE,New York,NY,10452,Bronx,40.8349041575827,-73.91822589547644,EAST 167 STREET,EAST 168 STREET,NW,03/19/2018 12:00:00 AM,07/02/2018 12:00:00 AM,up,up,up,4,16,197,BX63,West Concourse
