,lats,longs
0,40.74845,-74.0081
1,40.7485,-74.00825
2,40.74849,-74.00832
3,40.74854,-74.00842
4,40.74861,-74.00848
5,40.7489,-74.00866
6,40.74901,-74.00871
7,40.74954,-74.00858
8,40.75019,-74.00866
9,40.75052,-74.00865
10,40.75087,-74.00857
11,40.75139,-74.00837
12,40.75394,-74.00737
13,40.75439,-74.00715
14,40.75577,-74.00611
15,40.75721,-74.00508
16,40.75784,-74.00459
17,40.75926,-74.00362
18,40.76013,-74.003
19,40.76058,-74.00265
20,40.761,-74.00241
21,40.76131,-74.00217
22,40.76154,-74.00196
23,40.76163,-74.00186
24,40.76184,-74.00171
25,40.76198,-74.00158
26,40.76229,-74.00126
27,40.76289,-74.00042
28,40.76335,-73.99971
29,40.76353,-73.99952
30,40.76423,-73.99901
31,40.76448,-73.99878
32,40.76498,-73.99841
33,40.76545,-73.99804
34,40.7658,-73.99772
35,40.76647,-73.99719
36,40.76675,-73.99702
37,40.76677,-73.99698
