,lats,longs
0,40.66373,-73.96547
1,40.66387,-73.96556
2,40.66416,-73.96569
3,40.66423,-73.96574
4,40.66433,-73.96577
5,40.66456,-73.96589
6,40.66523,-73.96616
7,40.66554,-73.96631
8,40.66577,-73.96643
9,40.66595,-73.96659
10,40.66623,-73.96695
11,40.66639,-73.96711
12,40.66662,-73.96747
13,40.66681,-73.96774
14,40.6669,-73.96796
15,40.66697,-73.96823
16,40.66707,-73.96843
17,40.66723,-73.96861
18,40.6673,-73.96865
19,40.6675,-73.96875
20,40.66768,-73.9688
21,40.66805,-73.9688
22,40.66817,-73.96882
23,40.66837,-73.96893
24,40.66847,-73.969
25,40.66877,-73.96915
26,40.66889,-73.96918
27,40.66901,-73.96919
28,40.66925,-73.96914
29,40.66946,-73.96901
30,40.66966,-73.96885
