,lats,longs
0,40.71051,-73.96136
1,40.71045,-73.96113
2,40.71042,-73.96107
3,40.71045,-73.96118
4,40.7107,-73.96183
5,40.71081,-73.96224
6,40.71106,-73.96295
7,40.71118,-73.96342
8,40.71127,-73.96366
9,40.71146,-73.96437
10,40.71162,-73.96478
11,40.71174,-73.9654
12,40.71184,-73.96563
13,40.71199,-73.9661
14,40.71218,-73.9668
15,40.71219,-73.96691
16,40.71214,-73.96712
17,40.71215,-73.96725
18,40.71221,-73.96752
19,40.71228,-73.96775
20,40.71235,-73.96819
21,40.71243,-73.96852
22,40.71251,-73.96875
23,40.71254,-73.96894
24,40.71264,-73.96907
25,40.71261,-73.96916
26,40.71255,-73.96923
27,40.71261,-73.96953
28,40.71261,-73.96968
29,40.71269,-73.9699
30,40.71277,-73.9703
31,40.71289,-73.97055
32,40.71296,-73.97085
33,40.71312,-73.97131
34,40.71316,-73.97159
35,40.71321,-73.97179
36,40.71336,-73.97216
37,40.71346,-73.97254
38,40.71353,-73.97294
39,40.71352,-73.9733
40,40.71354,-73.97342
41,40.71363,-73.97365
